model,a,b,d,acc,in_range
coarse_direct,3,5,2,1.0,True
coarse_direct,3,6,3,1.0,True
coarse_direct,2,5,3,1.0,True
coarse_direct,7,8,1,0.0,False
coarse_direct,8,9,1,0.0,False
coarse_direct,7,9,2,0.0,False
coarse_kc,3,5,2,1.0,True
coarse_kc,3,6,3,1.0,True
coarse_kc,2,5,3,0.975,True
coarse_kc,7,8,1,0.35,False
coarse_kc,8,9,1,0.2,False
coarse_kc,7,9,2,0.075,False
coarse_kc_shuffled,3,5,2,1.0,True
coarse_kc_shuffled,3,6,3,1.0,True
coarse_kc_shuffled,2,5,3,1.0,True
coarse_kc_shuffled,7,8,1,0.275,False
coarse_kc_shuffled,8,9,1,0.125,False
coarse_kc_shuffled,7,9,2,0.125,False
hash,3,5,2,0.475,True
hash,3,6,3,0.575,True
hash,2,5,3,0.525,True
hash,7,8,1,0.475,False
hash,8,9,1,0.45,False
hash,7,9,2,0.5,False
