model,metric,mean,std,ci95
coarse_direct,train,1.0,0.0,0.0
coarse_direct,test1,1.0,0.0,0.0
coarse_direct,test2,0.0,0.0,0.0
coarse_kc,train,1.0,0.0,0.0
coarse_kc,test1,0.9916666666666668,0.03726779962499648,0.016333333333333325
coarse_kc,test2,0.20833333333333331,0.1310662526095082,0.057442317876639816
coarse_kc_shuffled,train,1.0,0.0,0.0
coarse_kc_shuffled,test1,1.0,0.0,0.0
coarse_kc_shuffled,test2,0.175,0.2386303510546059,0.10458436254473653
hash,train,1.0,0.0,0.0
hash,test1,0.5249999999999999,0.1555503340811216,0.06817293970192527
hash,test2,0.475,0.1970172314131031,0.08634660874698706
