model,train,pair,dist,mean,std
coarse_direct,1-4,"5,6",1,0.0,0.0
coarse_direct,1-4,"6,7",2,0.0,0.0
coarse_direct,1-4,"7,8",3,0.0,0.0
coarse_direct,1-4,"8,9",4,0.0,0.0
coarse_direct,1-6,"7,8",1,0.0,0.0
coarse_direct,1-6,"8,9",2,0.0,0.0
coarse_kc,1-4,"5,6",1,0.325,0.2935714743061999
coarse_kc,1-4,"6,7",2,0.25,0.2564945880212885
coarse_kc,1-4,"7,8",3,0.325,0.29357147430619995
coarse_kc,1-4,"8,9",4,0.3,0.2513123449750173
coarse_kc,1-6,"7,8",1,0.35,0.2350811729908136
coarse_kc,1-6,"8,9",2,0.2,0.2513123449750173
coarse_kc_shuffled,1-4,"5,6",1,0.375,0.22213082915965965
coarse_kc_shuffled,1-4,"6,7",2,0.15,0.2350811729908136
coarse_kc_shuffled,1-4,"7,8",3,0.325,0.2935714743061999
coarse_kc_shuffled,1-4,"8,9",4,0.35,0.28562028528873973
coarse_kc_shuffled,1-6,"7,8",1,0.275,0.34316637057662985
coarse_kc_shuffled,1-6,"8,9",2,0.125,0.22213082915965965
