arm,seed,n,op,true,pred
hash,0,4,-,3,2
hash,0,5,+,6,5
hash,0,6,-,5,2
hash,0,7,+,8,4
hash,0,7,-,6,7
hash,0,8,+,9,4
hash,0,8,-,7,3
hash,0,9,+,10,2
hash,0,9,-,8,3
hash,1,4,-,3,2
hash,1,5,+,6,2
hash,1,6,-,5,2
hash,1,7,+,8,1
hash,1,7,-,6,4
hash,1,8,+,9,4
hash,1,8,-,7,4
hash,1,9,+,10,2
hash,1,9,-,8,4
hash,2,4,-,3,3
hash,2,5,+,6,2
hash,2,6,-,5,2
hash,2,7,+,8,2
hash,2,7,-,6,7
hash,2,8,+,9,7
hash,2,8,-,7,2
hash,2,9,+,10,2
hash,2,9,-,8,0
hash,3,4,-,3,2
hash,3,5,+,6,4
hash,3,6,-,5,2
hash,3,7,+,8,2
hash,3,7,-,6,2
hash,3,8,+,9,4
hash,3,8,-,7,5
hash,3,9,+,10,1
hash,3,9,-,8,2
hash,4,4,-,3,5
hash,4,5,+,6,4
hash,4,6,-,5,5
hash,4,7,+,8,2
hash,4,7,-,6,4
hash,4,8,+,9,2
hash,4,8,-,7,1
hash,4,9,+,10,4
hash,4,9,-,8,2
hash,5,4,-,3,2
hash,5,5,+,6,4
hash,5,6,-,5,1
hash,5,7,+,8,4
hash,5,7,-,6,2
hash,5,8,+,9,2
hash,5,8,-,7,7
hash,5,9,+,10,2
hash,5,9,-,8,2
hash,6,4,-,3,4
hash,6,5,+,6,4
hash,6,6,-,5,4
hash,6,7,+,8,4
hash,6,7,-,6,0
hash,6,8,+,9,2
hash,6,8,-,7,4
hash,6,9,+,10,5
hash,6,9,-,8,2
hash,7,4,-,3,3
hash,7,5,+,6,4
hash,7,6,-,5,2
hash,7,7,+,8,4
hash,7,7,-,6,2
hash,7,8,+,9,4
hash,7,8,-,7,4
hash,7,9,+,10,4
hash,7,9,-,8,2
hash,8,4,-,3,4
hash,8,5,+,6,3
hash,8,6,-,5,3
hash,8,7,+,8,3
hash,8,7,-,6,2
hash,8,8,+,9,3
hash,8,8,-,7,4
hash,8,9,+,10,4
hash,8,9,-,8,2
hash,9,4,-,3,4
hash,9,5,+,6,2
hash,9,6,-,5,2
hash,9,7,+,8,4
hash,9,7,-,6,2
hash,9,8,+,9,2
hash,9,8,-,7,4
hash,9,9,+,10,2
hash,9,9,-,8,0
hash,10,4,-,3,4
hash,10,5,+,6,2
hash,10,6,-,5,5
hash,10,7,+,8,0
hash,10,7,-,6,7
hash,10,8,+,9,4
hash,10,8,-,7,4
hash,10,9,+,10,1
hash,10,9,-,8,1
hash,11,4,-,3,7
hash,11,5,+,6,2
hash,11,6,-,5,4
hash,11,7,+,8,2
hash,11,7,-,6,4
hash,11,8,+,9,4
hash,11,8,-,7,4
hash,11,9,+,10,2
hash,11,9,-,8,4
hash,12,4,-,3,4
hash,12,5,+,6,2
hash,12,6,-,5,4
hash,12,7,+,8,2
hash,12,7,-,6,2
hash,12,8,+,9,4
hash,12,8,-,7,5
hash,12,9,+,10,2
hash,12,9,-,8,1
hash,13,4,-,3,2
hash,13,5,+,6,7
hash,13,6,-,5,4
hash,13,7,+,8,4
hash,13,7,-,6,1
hash,13,8,+,9,3
hash,13,8,-,7,0
hash,13,9,+,10,0
hash,13,9,-,8,4
hash,14,4,-,3,2
hash,14,5,+,6,2
hash,14,6,-,5,4
hash,14,7,+,8,3
hash,14,7,-,6,3
hash,14,8,+,9,3
hash,14,8,-,7,3
hash,14,9,+,10,2
hash,14,9,-,8,4
hash,15,4,-,3,5
hash,15,5,+,6,2
hash,15,6,-,5,4
hash,15,7,+,8,4
hash,15,7,-,6,5
hash,15,8,+,9,0
hash,15,8,-,7,2
hash,15,9,+,10,0
hash,15,9,-,8,4
hash,16,4,-,3,4
hash,16,5,+,6,3
hash,16,6,-,5,2
hash,16,7,+,8,4
hash,16,7,-,6,2
hash,16,8,+,9,4
hash,16,8,-,7,3
hash,16,9,+,10,5
hash,16,9,-,8,2
hash,17,4,-,3,4
hash,17,5,+,6,7
hash,17,6,-,5,0
hash,17,7,+,8,4
hash,17,7,-,6,2
hash,17,8,+,9,2
hash,17,8,-,7,2
hash,17,9,+,10,4
hash,17,9,-,8,3
hash,18,4,-,3,4
hash,18,5,+,6,5
hash,18,6,-,5,2
hash,18,7,+,8,4
hash,18,7,-,6,4
hash,18,8,+,9,1
hash,18,8,-,7,2
hash,18,9,+,10,4
hash,18,9,-,8,1
hash,19,4,-,3,7
hash,19,5,+,6,0
hash,19,6,-,5,2
hash,19,7,+,8,4
hash,19,7,-,6,2
hash,19,8,+,9,2
hash,19,8,-,7,4
hash,19,9,+,10,4
hash,19,9,-,8,0
coarse_direct,0,4,-,3,4
coarse_direct,0,5,+,6,4
coarse_direct,0,6,-,5,7
coarse_direct,0,7,+,8,7
coarse_direct,0,7,-,6,7
coarse_direct,0,8,+,9,7
coarse_direct,0,8,-,7,7
coarse_direct,0,9,+,10,7
coarse_direct,0,9,-,8,7
coarse_direct,1,4,-,3,4
coarse_direct,1,5,+,6,4
coarse_direct,1,6,-,5,7
coarse_direct,1,7,+,8,7
coarse_direct,1,7,-,6,7
coarse_direct,1,8,+,9,7
coarse_direct,1,8,-,7,7
