arm,metric,mean,std,ci95
hash,train,1.0,0.0,0.0
hash,combo,0.06666666666666667,0.13679711361135385,0.05995397845150679
hash,combo_mag,0.18333333333333332,0.27519264916063213,0.12060849620455907
hash,newn,0.008333333333333333,0.037267799624996496,0.01633333333333333
hash,newn_mag,0.016666666666666666,0.051298917604257706,0.02248274191931505
coarse_direct,train,0.7777777777777779,1.1390647892519134e-16,4.9921715471057503e-17
coarse_direct,combo,0.0,0.0,0.0
coarse_direct,combo_mag,0.6666666666666665,1.1390647892519134e-16,4.9921715471057503e-17
coarse_direct,newn,0.16666666666666663,2.8476619731297836e-17,1.2480428867764376e-17
coarse_direct,newn_mag,0.33333333333333326,5.695323946259567e-17,2.4960857735528752e-17
coarse_kc,train,1.0,0.0,0.0
coarse_kc,combo,0.0,0.0,0.0
coarse_kc,combo_mag,1.0,0.0,0.0
coarse_kc,newn,0.14166666666666664,0.06105792475542053,0.026759815382364754
coarse_kc,newn_mag,0.3,0.06839855680567693,0.029976989225753394
coarse_kc_shuffled,train,1.0,0.0,0.0
coarse_kc_shuffled,combo,0.0,0.0,0.0
coarse_kc_shuffled,combo_mag,1.0,0.0,0.0
coarse_kc_shuffled,newn,0.16666666666666663,2.8476619731297836e-17,1.2480428867764376e-17
coarse_kc_shuffled,newn_mag,0.33333333333333326,5.695323946259567e-17,2.4960857735528752e-17
coarse_kc_shared_removed,train,0.6666666666666665,1.1390647892519134e-16,4.9921715471057503e-17
coarse_kc_shared_removed,combo,0.0,0.0,0.0
coarse_kc_shared_removed,combo_mag,1.0,0.0,0.0
coarse_kc_shared_removed,newn,0.16666666666666663,2.8476619731297836e-17,1.2480428867764376e-17
coarse_kc_shared_removed,newn_mag,0.33333333333333326,5.695323946259567e-17,2.4960857735528752e-17
coarse_kc_overlapctl,train,1.0,0.0,0.0
coarse_kc_overlapctl,combo,0.0,0.0,0.0
coarse_kc_overlapctl,combo_mag,1.0,0.0,0.0
coarse_kc_overlapctl,newn,0.14166666666666664,0.06105792475542053,0.026759815382364754
coarse_kc_overlapctl,newn_mag,0.30833333333333324,0.06105792475542053,0.026759815382364754
thermo,train,1.0,0.0,0.0
thermo,combo,0.0,0.0,0.0
thermo,combo_mag,0.9,0.1567207819938758,0.06868591111694533
thermo,newn,0.08333333333333334,0.08549819600709618,0.037471236532191754
thermo,newn_mag,0.2,0.14907119849998599,0.06533333333333333
