arm,seed,train_exact,train_tol,g1_exact,g1_tol,g2_exact,g2_tol,newn_exact,newn_tol,op_flip,dead_units
coarse_direct,0,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,1,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,2,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,3,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,4,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,5,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,6,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,7,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,8,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,9,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,10,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,11,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,12,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,13,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,14,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,15,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,16,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,17,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,18,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_direct,19,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2222222222222222,0
coarse_kc_gercek,1,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_gercek,2,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0
coarse_kc_gercek,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0
coarse_kc_gercek,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_gercek,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_gercek,6,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_gercek,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_gercek,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_gercek,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_gercek,10,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek,11,0.8,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.1111111111111111,0
coarse_kc_gercek,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_gercek,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0
coarse_kc_gercek,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_gercek,15,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek,16,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_gercek,17,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1111111111111111,0
coarse_kc_gercek,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_gercek,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_shuffled,0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.2222222222222222,0
coarse_kc_shuffled,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_shuffled,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_shuffled,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_shuffled,4,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,5,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,6,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,7,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,8,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,9,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,10,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,11,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_shuffled,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_shuffled,13,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,14,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_shuffled,15,0.8,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.1111111111111111,0
coarse_kc_shuffled,16,0.8,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.1111111111111111,0
coarse_kc_shuffled,17,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_shuffled,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_shuffled,19,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ablasyon,0,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,1,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,2,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,3,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,4,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,5,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,6,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,7,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,8,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,9,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,10,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,11,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,12,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,13,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,14,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,15,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,16,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,17,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,18,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,19,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ortusme_kontrol,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,1,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
