k,n,acc,p_k
0,720,1.0,1.0
1,40,0.525,0.5022727272727273
2,100,0.36,0.2522778925619835
3,120,0.30833333333333335,0.12671230512772355
4,200,0.185,0.0636441350755157
5,160,0.18125,0.03196671329929311
6,280,0.175,0.016056008270781314
7,120,0.19166666666666668,0.008064495063278799
8,220,0.15,0.0040505759295104875
9,120,0.18333333333333332,0.002034493819140495
10,40,0.05,0.0010218707591592032
12,80,0.0,0.000257795401591398
14,40,0.0,6.50360806256481e-05
15,40,0.0,3.2665849586973255e-05
16,60,0.0,1.640716536072975e-05
18,80,0.0,4.139165100120877e-06
20,40,0.0,1.0442198484246063e-06
21,40,0.0,5.24483151140541e-07
24,80,0.0,6.645846908167017e-08
25,20,0.0,3.3380276516020704e-08
27,40,0.0,8.421105812597973e-09
28,40,0.0,4.2296917831458e-09
30,40,0.0,1.0670577292387606e-09
32,40,0.0,2.6919507517433017e-10
35,40,0.0,3.41103285043702e-11
36,60,0.0,1.713268772605867e-11
40,40,0.0,1.090395091843908e-12
42,40,0.0,2.750825758303115e-13
45,40,0.0,3.485634728393059e-14
48,40,0.0,4.416728112679311e-15
49,20,0.0,2.218402074777563e-15
54,40,0.0,7.091502310697136e-17
56,40,0.0,1.78902925804111e-17
63,40,0.0,1.442761761953386e-19
64,20,0.0,7.246598849811326e-20
72,40,0.0,2.935289887186414e-22
81,20,0.0,5.97182913286636e-25
