arm,seed,g,train_acc,op_sens
ref,0,1,1.0,1.0
ref,1,1,1.0,1.0
ref,2,1,1.0,1.0
ref,3,1,1.0,1.0
ref,4,1,1.0,1.0
ref,5,1,1.0,1.0
ref,6,1,1.0,1.0
ref,7,1,1.0,1.0
ref,8,1,1.0,1.0
ref,9,1,1.0,1.0
ref,10,1,1.0,1.0
ref,11,1,1.0,1.0
ref,12,1,1.0,1.0
ref,13,1,1.0,1.0
ref,14,1,1.0,1.0
ref,15,1,1.0,1.0
ref,16,1,1.0,1.0
ref,17,1,1.0,1.0
ref,18,1,1.0,1.0
ref,19,1,1.0,1.0
gain,0,1,1.0,1.0
gain,1,1,1.0,1.0
gain,2,1,1.0,1.0
gain,3,1,1.0,1.0
gain,4,1,1.0,1.0
gain,5,1,1.0,1.0
gain,6,1,1.0,1.0
gain,7,1,1.0,1.0
gain,8,1,1.0,1.0
gain,9,1,1.0,1.0
gain,10,1,1.0,1.0
gain,11,1,1.0,1.0
gain,12,1,1.0,1.0
gain,13,1,1.0,1.0
gain,14,1,1.0,1.0
gain,15,1,1.0,1.0
gain,16,1,1.0,1.0
gain,17,1,1.0,1.0
gain,18,1,1.0,1.0
gain,19,1,1.0,1.0
perchan,0,1,0.6818181818181818,0.36363636363636365
perchan,1,1,0.6818181818181818,0.36363636363636365
perchan,2,1,0.6818181818181818,0.36363636363636365
perchan,3,1,0.5909090909090909,0.18181818181818182
perchan,4,1,0.6818181818181818,0.36363636363636365
perchan,5,1,0.6818181818181818,0.36363636363636365
perchan,6,1,0.6818181818181818,0.36363636363636365
perchan,7,1,0.6818181818181818,0.36363636363636365
perchan,8,1,0.6818181818181818,0.36363636363636365
perchan,9,1,0.6818181818181818,0.36363636363636365
perchan,10,1,0.6818181818181818,0.36363636363636365
perchan,11,1,0.6818181818181818,0.36363636363636365
perchan,12,1,0.6818181818181818,0.36363636363636365
perchan,13,1,0.6818181818181818,0.36363636363636365
perchan,14,1,0.6818181818181818,0.36363636363636365
perchan,15,1,0.6818181818181818,0.36363636363636365
perchan,16,1,0.6818181818181818,0.36363636363636365
perchan,17,1,0.6818181818181818,0.36363636363636365
perchan,18,1,0.6818181818181818,0.36363636363636365
perchan,19,1,0.6818181818181818,0.36363636363636365
union,0,1,0.9090909090909091,1.0
union,1,1,1.0,1.0
union,2,1,0.9090909090909091,1.0
union,3,1,0.9545454545454546,1.0
union,4,1,1.0,1.0
union,5,1,0.9545454545454546,1.0
union,6,1,1.0,1.0
union,7,1,0.9090909090909091,1.0
union,8,1,0.9090909090909091,1.0
union,9,1,0.8636363636363636,1.0
union,10,1,1.0,1.0
union,11,1,0.9090909090909091,1.0
union,12,1,0.9090909090909091,1.0
union,13,1,0.7727272727272727,1.0
union,14,1,0.9545454545454546,1.0
union,15,1,1.0,1.0
union,16,1,1.0,1.0
union,17,1,0.8181818181818182,0.9090909090909091
union,18,1,1.0,1.0
union,19,1,0.8181818181818182,1.0
shuffled,0,1,1.0,1.0
shuffled,1,1,1.0,1.0
shuffled,2,1,1.0,1.0
shuffled,3,1,1.0,1.0
shuffled,4,1,1.0,1.0
shuffled,5,1,1.0,1.0
shuffled,6,1,1.0,1.0
shuffled,7,1,1.0,1.0
shuffled,8,1,1.0,1.0
shuffled,9,1,1.0,1.0
shuffled,10,1,0.9545454545454546,0.9090909090909091
shuffled,11,1,1.0,1.0
shuffled,12,1,1.0,1.0
shuffled,13,1,1.0,1.0
shuffled,14,1,1.0,1.0
shuffled,15,1,1.0,1.0
shuffled,16,1,1.0,1.0
shuffled,17,1,1.0,1.0
shuffled,18,1,1.0,1.0
shuffled,19,1,1.0,1.0
ablation,0,1,0.5,0.0
ablation,1,1,0.5,0.0
ablation,2,1,0.5,0.0
ablation,3,1,0.5,0.0
ablation,4,1,0.5,0.0
ablation,5,1,0.5,0.0
ablation,6,1,0.5,0.0
ablation,7,1,0.5,0.0
ablation,8,1,0.5,0.0
ablation,9,1,0.5,0.0
ablation,10,1,0.5,0.0
ablation,11,1,0.5,0.0
ablation,12,1,0.5,0.0
ablation,13,1,0.5,0.0
ablation,14,1,0.5,0.0
ablation,15,1,0.5,0.0
ablation,16,1,0.5,0.0
ablation,17,1,0.5,0.0
ablation,18,1,0.5,0.0
ablation,19,1,0.5,0.0
overlapctl,0,1,1.0,1.0
overlapctl,1,1,1.0,1.0
overlapctl,2,1,1.0,1.0
overlapctl,3,1,1.0,1.0
overlapctl,4,1,1.0,1.0
overlapctl,5,1,1.0,1.0
overlapctl,6,1,1.0,1.0
overlapctl,7,1,1.0,1.0
overlapctl,8,1,1.0,1.0
overlapctl,9,1,1.0,1.0
overlapctl,10,1,1.0,1.0
overlapctl,11,1,1.0,1.0
overlapctl,12,1,1.0,1.0
overlapctl,13,1,1.0,1.0
overlapctl,14,1,1.0,1.0
overlapctl,15,1,1.0,1.0
overlapctl,16,1,1.0,1.0
overlapctl,17,1,1.0,1.0
overlapctl,18,1,1.0,1.0
overlapctl,19,1,1.0,1.0
