op,a,b,k,ok,got,want
add,1,1,1,1,2,2
add,1,2,2,1,3,3
add,1,3,3,1,4,4
add,1,4,4,1,5,5
add,1,5,5,1,6,6
add,1,6,6,1,7,7
add,1,7,7,1,8,8
add,1,8,8,1,9,9
add,1,9,9,1,10,10
add,2,1,1,1,3,3
add,2,2,2,1,4,4
add,2,3,3,1,5,5
add,2,4,4,1,6,6
add,2,5,5,1,7,7
add,2,6,6,1,8,8
add,2,7,7,1,9,9
add,2,8,8,1,10,10
add,2,9,9,1,11,11
add,3,1,1,1,4,4
add,3,2,2,1,5,5
add,3,3,3,1,6,6
add,3,4,4,1,7,7
add,3,5,5,1,8,8
add,3,6,6,1,9,9
add,3,7,7,1,10,10
add,3,8,8,1,11,11
add,3,9,9,1,12,12
add,4,1,1,1,5,5
add,4,2,2,1,6,6
add,4,3,3,1,7,7
add,4,4,4,1,8,8
add,4,5,5,1,9,9
add,4,6,6,1,10,10
add,4,7,7,1,11,11
add,4,8,8,1,12,12
add,4,9,9,1,13,13
add,5,1,1,1,6,6
add,5,2,2,1,7,7
add,5,3,3,1,8,8
add,5,4,4,1,9,9
add,5,5,5,1,10,10
add,5,6,6,1,11,11
add,5,7,7,1,12,12
add,5,8,8,1,13,13
add,5,9,9,1,14,14
add,6,1,1,1,7,7
add,6,2,2,1,8,8
add,6,3,3,1,9,9
add,6,4,4,1,10,10
add,6,5,5,1,11,11
add,6,6,6,1,12,12
add,6,7,7,1,13,13
add,6,8,8,1,14,14
add,6,9,9,1,15,15
add,7,1,1,1,8,8
add,7,2,2,1,9,9
add,7,3,3,1,10,10
add,7,4,4,1,11,11
add,7,5,5,1,12,12
add,7,6,6,1,13,13
add,7,7,7,1,14,14
add,7,8,8,1,15,15
add,7,9,9,1,16,16
add,8,1,1,1,9,9
add,8,2,2,1,10,10
add,8,3,3,1,11,11
add,8,4,4,1,12,12
add,8,5,5,1,13,13
add,8,6,6,1,14,14
add,8,7,7,1,15,15
add,8,8,8,1,16,16
add,8,9,9,1,17,17
add,9,1,1,1,10,10
add,9,2,2,1,11,11
add,9,3,3,1,12,12
add,9,4,4,1,13,13
add,9,5,5,1,14,14
add,9,6,6,1,15,15
add,9,7,7,1,16,16
add,9,8,8,1,17,17
add,9,9,9,1,18,18
subtract,1,1,1,1,0,0
subtract,1,2,2,1,0,0
subtract,1,3,3,1,0,0
subtract,1,4,4,1,0,0
subtract,1,5,5,1,0,0
subtract,1,6,6,1,0,0
subtract,1,7,7,1,0,0
subtract,1,8,8,1,0,0
subtract,1,9,9,1,0,0
subtract,2,1,1,1,1,1
subtract,2,2,2,1,0,0
subtract,2,3,3,1,0,0
subtract,2,4,4,1,0,0
subtract,2,5,5,1,0,0
subtract,2,6,6,1,0,0
subtract,2,7,7,1,0,0
subtract,2,8,8,1,0,0
subtract,2,9,9,1,0,0
subtract,3,1,1,1,2,2
subtract,3,2,2,1,1,1
subtract,3,3,3,1,0,0
subtract,3,4,4,1,0,0
subtract,3,5,5,1,0,0
subtract,3,6,6,1,0,0
subtract,3,7,7,1,0,0
subtract,3,8,8,1,0,0
subtract,3,9,9,1,0,0
subtract,4,1,1,1,3,3
subtract,4,2,2,1,2,2
subtract,4,3,3,1,1,1
subtract,4,4,4,1,0,0
subtract,4,5,5,1,0,0
subtract,4,6,6,1,0,0
subtract,4,7,7,1,0,0
subtract,4,8,8,1,0,0
subtract,4,9,9,1,0,0
subtract,5,1,1,1,4,4
subtract,5,2,2,1,3,3
subtract,5,3,3,1,2,2
subtract,5,4,4,1,1,1
subtract,5,5,5,1,0,0
subtract,5,6,6,1,0,0
subtract,5,7,7,1,0,0
subtract,5,8,8,1,0,0
subtract,5,9,9,1,0,0
subtract,6,1,1,1,5,5
subtract,6,2,2,1,4,4
subtract,6,3,3,1,3,3
subtract,6,4,4,1,2,2
subtract,6,5,5,1,1,1
subtract,6,6,6,1,0,0
subtract,6,7,7,1,0,0
subtract,6,8,8,1,0,0
subtract,6,9,9,1,0,0
subtract,7,1,1,1,6,6
subtract,7,2,2,1,5,5
subtract,7,3,3,1,4,4
subtract,7,4,4,1,3,3
subtract,7,5,5,1,2,2
subtract,7,6,6,1,1,1
subtract,7,7,7,1,0,0
subtract,7,8,8,1,0,0
subtract,7,9,9,1,0,0
subtract,8,1,1,1,7,7
subtract,8,2,2,1,6,6
subtract,8,3,3,1,5,5
subtract,8,4,4,1,4,4
subtract,8,5,5,1,3,3
subtract,8,6,6,1,2,2
subtract,8,7,7,1,1,1
subtract,8,8,8,1,0,0
subtract,8,9,9,1,0,0
subtract,9,1,1,1,8,8
subtract,9,2,2,1,7,7
