k,n,acc,p_k
0,720,1.0,1.0
1,400,0.9875,0.9722222222222221
2,460,0.9717391304347827,0.9452160493827159
3,480,0.9729166666666667,0.9189600480109736
4,560,0.9696428571428571,0.8934333800106686
5,520,0.975,0.8686157861214833
6,640,0.9671875,0.8444875698403309
7,480,0.9729166666666667,0.8210295817892105
8,580,0.9637931034482758,0.7982232045172879
9,480,0.9625,0.7760503377251409
10,40,0.8,0.7544933838994424
12,80,0.8,0.7131592556148277
14,40,0.8,0.6740895741729659
15,40,0.8,0.6553648637792723
16,60,0.8,0.6371602842298479
18,80,0.75,0.6022541266833052
20,40,0.75,0.5692602663480314
21,40,0.75,0.5534474811716972
24,80,0.75,0.5085961238690951
25,20,0.75,0.49446845376162024
27,40,0.75,0.46737951840893877
28,40,0.75,0.45439675400869045
30,40,0.75,0.4295031046764241
32,40,0.75,0.4059732277998606
35,40,0.75,0.37307317691012987
36,60,0.75,0.3627100331070706
40,40,0.75,0.32405725084263165
42,40,0.0,0.30630411441529604
45,40,0.0,0.2814812436890392
48,40,0.0,0.25867001721466804
49,20,0.0,0.251484738958705
54,40,0.0,0.21844361422817155
56,40,0.0,0.20647641005363432
63,40,0.0,0.16952324059567292
64,20,0.0,0.16481426169023755
72,40,0.0,0.13155856811653227
81,20,0.0,0.10209607121747083
