seed,acc,n_wrong,full
0,0.9878048780487805,1,0
1,1.0,0,1
2,1.0,0,1
3,1.0,0,1
4,0.9878048780487805,1,0
5,0.9878048780487805,1,0
6,1.0,0,1
7,0.9878048780487805,1,0
8,1.0,0,1
9,0.9634146341463414,3,0
10,1.0,0,1
11,1.0,0,1
12,0.975609756097561,2,0
13,1.0,0,1
14,1.0,0,1
15,1.0,0,1
16,0.975609756097561,2,0
17,1.0,0,1
18,1.0,0,1
19,0.975609756097561,2,0
20,1.0,0,1
21,1.0,0,1
22,1.0,0,1
23,0.9878048780487805,1,0
24,0.9878048780487805,1,0
25,0.9878048780487805,1,0
26,1.0,0,1
27,0.9878048780487805,1,0
28,1.0,0,1
29,0.9634146341463414,3,0
30,1.0,0,1
31,0.9878048780487805,1,0
32,0.9878048780487805,1,0
33,0.975609756097561,2,0
34,1.0,0,1
35,0.975609756097561,2,0
36,0.975609756097561,2,0
37,1.0,0,1
38,1.0,0,1
39,0.9878048780487805,1,0
40,0.9878048780487805,1,0
41,1.0,0,1
42,0.9878048780487805,1,0
43,1.0,0,1
44,1.0,0,1
45,0.9878048780487805,1,0
46,0.9634146341463414,3,0
47,1.0,0,1
48,1.0,0,1
49,1.0,0,1
50,1.0,0,1
51,1.0,0,1
52,1.0,0,1
53,0.9878048780487805,1,0
54,1.0,0,1
55,1.0,0,1
56,1.0,0,1
57,1.0,0,1
58,1.0,0,1
59,1.0,0,1
60,1.0,0,1
61,1.0,0,1
62,1.0,0,1
63,1.0,0,1
64,1.0,0,1
65,0.9878048780487805,1,0
66,0.9634146341463414,3,0
67,0.9634146341463414,3,0
68,1.0,0,1
69,1.0,0,1
70,1.0,0,1
71,1.0,0,1
72,1.0,0,1
73,0.9878048780487805,1,0
74,1.0,0,1
75,1.0,0,1
76,1.0,0,1
77,1.0,0,1
78,0.9878048780487805,1,0
79,1.0,0,1
80,1.0,0,1
81,1.0,0,1
82,1.0,0,1
83,1.0,0,1
84,0.9878048780487805,1,0
85,1.0,0,1
86,0.9878048780487805,1,0
87,1.0,0,1
88,1.0,0,1
89,0.975609756097561,2,0
90,0.9878048780487805,1,0
91,1.0,0,1
92,1.0,0,1
93,0.9878048780487805,1,0
94,1.0,0,1
95,1.0,0,1
96,1.0,0,1
97,1.0,0,1
98,1.0,0,1
99,1.0,0,1
