n,op,max_sim_nb
0,+,0.75
0,-,0.7749999761581421
1,+,0.800000011920929
1,-,0.800000011920929
2,+,0.800000011920929
2,-,0.800000011920929
38,+,0.9630363583564758
38,-,0.949999988079071
39,+,0.9630363583564758
39,-,0.9750000238418579
40,+,0.9630363583564758
40,-,0.9750000238418579
0,+,0.8999999761581421
0,-,0.8500000238418579
1,+,0.8999999761581421
1,-,0.8500000238418579
2,+,0.8642634153366089
2,-,0.8500000238418579
38,+,0.875
38,-,0.925000011920929
39,+,0.875
39,-,0.925000011920929
40,+,0.875
40,-,0.875
0,+,0.824999988079071
0,-,0.8500000238418579
1,+,0.824999988079071
1,-,0.8500000238418579
2,+,0.839570164680481
2,-,0.824999988079071
38,+,0.8571429252624512
38,-,0.8999999761581421
39,+,0.949999988079071
39,-,0.925000011920929
40,+,0.949999988079071
40,-,0.925000011920929
0,+,0.7901836633682251
0,-,0.875
1,+,0.800000011920929
1,-,0.875
2,+,0.800000011920929
2,-,0.800000011920929
38,+,0.7749999761581421
38,-,0.800000011920929
39,+,0.7250000238418579
39,-,0.7250000238418579
40,+,0.675000011920929
40,-,0.699999988079071
0,+,0.8999999761581421
0,-,0.91364985704422
1,+,0.8999999761581421
1,-,0.91364985704422
2,+,0.675000011920929
2,-,0.6667174696922302
38,+,0.925000011920929
38,-,0.875
39,+,0.925000011920929
39,-,0.949999988079071
40,+,0.800000011920929
40,-,0.949999988079071
0,+,0.8642634153366089
0,-,0.824999988079071
1,+,0.8642634153366089
1,-,0.824999988079071
2,+,0.699999988079071
2,-,0.7250000238418579
38,+,0.8999999761581421
38,-,0.925000011920929
39,+,0.8999999761581421
39,-,0.925000011920929
40,+,0.8999999761581421
40,-,0.875
0,+,0.800000011920929
0,-,0.824999988079071
1,+,0.800000011920929
1,-,0.824999988079071
2,+,0.699999988079071
2,-,0.699999988079071
38,+,0.7749999761581421
38,-,0.824999988079071
39,+,0.824999988079071
39,-,0.875
40,+,0.824999988079071
40,-,0.875
0,+,0.8500000238418579
0,-,0.949999988079071
1,+,0.8500000238418579
1,-,0.949999988079071
2,+,0.8500000238418579
2,-,0.8500000238418579
38,+,0.75
38,-,0.7749999761581421
39,+,0.8500000238418579
39,-,0.824999988079071
40,+,0.8500000238418579
40,-,0.824999988079071
0,+,0.699999988079071
0,-,0.675000011920929
1,+,0.7749999761581421
1,-,0.824999988079071
2,+,0.8500000238418579
2,-,0.824999988079071
38,+,0.8500000238418579
38,-,0.8500000238418579
39,+,0.875
39,-,0.8999999761581421
40,+,0.875
40,-,0.8999999761581421
0,+,0.800000011920929
0,-,0.7901836633682251
1,+,0.800000011920929
1,-,0.7901836633682251
2,+,0.7749999761581421
2,-,0.800000011920929
38,+,0.7250000238418579
38,-,0.7250000238418579
