seed,n,op,pred,true,margin
0,39,-,39,38,-0.1053624153137207
4,1,+,0,2,-0.01413506269454956
5,40,-,40,39,-0.04676428437232971
7,1,+,0,2,-0.12357312440872192
9,17,+,16,18,-0.030826464295387268
9,39,-,40,38,-0.06549341976642609
9,40,-,40,39,-0.030734289437532425
12,39,-,40,38,-0.0025593042373657227
12,40,-,40,39,-0.038164883852005005
16,1,+,0,2,-0.15153023600578308
16,3,+,2,4,-0.012253671884536743
19,0,+,0,1,-0.19099298119544983
19,36,+,35,37,-0.03633236885070801
23,18,+,18,19,-0.01737913489341736
24,1,+,0,2,-0.02013745903968811
25,39,-,40,38,-0.09665660560131073
27,12,-,13,11,-0.02697385847568512
29,0,+,0,1,-0.05262766778469086
29,1,+,0,2,-0.09427592158317566
29,24,-,25,23,-0.04275369644165039
31,14,-,15,13,-0.004216328263282776
32,2,-,0,1,-0.0622524619102478
33,1,+,0,2,-0.21235156059265137
33,39,-,40,38,-0.21314647793769836
35,36,-,37,35,-0.001914888620376587
35,38,-,39,37,-0.09499254822731018
36,35,+,34,36,-0.0038976967334747314
36,40,-,40,39,-0.04595475643873215
39,39,-,40,38,-0.055785179138183594
40,39,-,40,38,-0.04403674602508545
42,38,-,39,37,-0.01854729652404785
45,40,-,38,39,-0.024121195077896118
46,1,+,0,2,-0.14096951484680176
46,39,-,40,38,-0.01393359899520874
46,40,-,40,39,-0.10220187902450562
53,1,+,0,2,-0.09029699862003326
65,3,-,4,2,-0.05547976493835449
66,1,+,0,2,-0.06850564479827881
66,8,-,9,7,-0.007599890232086182
66,39,-,40,38,-0.08078506588935852
67,32,+,31,33,-0.005086123943328857
67,39,-,40,38,-0.09298527240753174
67,40,-,40,39,-0.04946279525756836
73,1,+,0,2,-0.0019882768392562866
78,39,-,40,38,-0.0335557758808136
84,1,+,0,2,-0.09158232808113098
86,0,+,0,1,-0.03236036002635956
89,22,+,21,23,-0.01595526933670044
89,39,-,40,38,-0.14074666798114777
90,3,+,2,4,-0.03969651460647583
93,39,-,40,38,-0.19693949818611145
