k,n,acc,p_k
0,360,1.0,1.0
1,200,1.0,1.0
2,230,1.0,1.0
3,240,1.0,1.0
4,280,1.0,1.0
5,260,1.0,1.0
6,320,1.0,1.0
7,240,1.0,1.0
8,290,1.0,1.0
9,240,1.0,1.0
10,20,1.0,1.0
12,40,1.0,1.0
14,20,1.0,1.0
15,20,1.0,1.0
16,30,1.0,1.0
18,40,1.0,1.0
20,20,1.0,1.0
21,20,1.0,1.0
24,40,1.0,1.0
25,10,1.0,1.0
27,20,1.0,1.0
28,20,1.0,1.0
30,20,1.0,1.0
32,20,1.0,1.0
35,20,1.0,1.0
36,30,1.0,1.0
40,20,1.0,1.0
42,20,0.0,1.0
45,20,0.0,1.0
48,20,0.0,1.0
49,10,0.0,1.0
54,20,0.0,1.0
56,20,0.0,1.0
63,20,0.0,1.0
64,10,0.0,1.0
72,20,0.0,1.0
81,10,0.0,1.0
