seed,acc,n_wrong,accept
0,1.0,0,1
1,0.9939024390243902,1,0
2,0.9939024390243902,1,0
3,1.0,0,1
4,0.9939024390243902,1,0
5,1.0,0,1
6,0.9939024390243902,1,0
7,1.0,0,1
8,1.0,0,1
9,1.0,0,1
10,1.0,0,1
11,1.0,0,1
12,1.0,0,1
13,0.9939024390243902,1,0
14,1.0,0,1
15,1.0,0,1
16,0.9939024390243902,1,0
17,0.9695121951219512,5,0
18,0.9939024390243902,1,0
19,0.9939024390243902,1,0
20,1.0,0,1
21,1.0,0,1
22,1.0,0,1
23,1.0,0,1
24,1.0,0,1
25,1.0,0,1
26,0.9939024390243902,1,0
27,0.9939024390243902,1,0
28,1.0,0,1
29,0.9939024390243902,1,0
30,0.9939024390243902,1,0
31,1.0,0,1
32,1.0,0,1
33,0.9878048780487805,2,0
34,1.0,0,1
35,1.0,0,1
36,0.9939024390243902,1,0
37,0.9878048780487805,2,0
38,0.9634146341463414,6,0
39,1.0,0,1
40,0.9939024390243902,1,0
41,0.9939024390243902,1,0
42,1.0,0,1
43,1.0,0,1
44,0.9939024390243902,1,0
45,0.9878048780487805,2,0
46,0.9817073170731707,3,0
47,1.0,0,1
48,1.0,0,1
49,0.9939024390243902,1,0
50,0.9695121951219512,5,0
51,0.9939024390243902,1,0
52,1.0,0,1
53,0.9878048780487805,2,0
54,1.0,0,1
55,0.9939024390243902,1,0
56,0.9878048780487805,2,0
57,1.0,0,1
58,1.0,0,1
59,1.0,0,1
60,0.9939024390243902,1,0
61,1.0,0,1
62,0.9817073170731707,3,0
63,1.0,0,1
64,0.9939024390243902,1,0
65,1.0,0,1
66,0.9939024390243902,1,0
67,0.9939024390243902,1,0
68,1.0,0,1
69,1.0,0,1
70,1.0,0,1
71,1.0,0,1
72,0.9817073170731707,3,0
73,1.0,0,1
74,1.0,0,1
75,1.0,0,1
76,0.9939024390243902,1,0
77,1.0,0,1
78,1.0,0,1
79,1.0,0,1
80,1.0,0,1
81,0.9817073170731707,3,0
82,0.9939024390243902,1,0
83,1.0,0,1
84,1.0,0,1
85,1.0,0,1
86,0.9878048780487805,2,0
87,0.9878048780487805,2,0
88,1.0,0,1
89,0.9695121951219512,5,0
90,0.9939024390243902,1,0
91,1.0,0,1
92,0.9939024390243902,1,0
93,0.9939024390243902,1,0
94,1.0,0,1
95,1.0,0,1
96,0.9878048780487805,2,0
97,0.9939024390243902,1,0
98,1.0,0,1
99,0.9878048780487805,2,0
