seed,acc,n_wrong,full
0,1.0,0,1
1,0.9939024390243902,1,0
2,0.9939024390243902,1,0
3,1.0,0,1
4,0.9939024390243902,1,0
5,1.0,0,1
6,0.9939024390243902,1,0
7,1.0,0,1
8,1.0,0,1
9,1.0,0,1
10,1.0,0,1
11,1.0,0,1
12,1.0,0,1
13,0.9939024390243902,1,0
14,1.0,0,1
15,1.0,0,1
16,0.9939024390243902,1,0
17,0.9695121951219512,5,0
18,0.9939024390243902,1,0
19,0.9939024390243902,1,0
20,1.0,0,1
21,1.0,0,1
22,1.0,0,1
23,1.0,0,1
24,1.0,0,1
25,1.0,0,1
26,0.9939024390243902,1,0
27,0.9939024390243902,1,0
28,1.0,0,1
29,0.9939024390243902,1,0
