seed,dim,rank,n_uniq,dup_conflict,cf_onehot,cf_pm1,delta_acc
0,427,155,164,0,1.0,1.0,1.0
1,427,163,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
2,427,163,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
3,427,163,164,0,1.0,1.0,1.0
4,427,162,162,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
5,427,164,164,0,1.0,1.0,1.0
6,427,163,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
7,427,164,164,0,1.0,1.0,1.0
8,427,164,164,0,1.0,1.0,1.0
9,427,164,164,0,1.0,1.0,1.0
10,427,164,164,0,1.0,1.0,1.0
11,427,164,164,0,1.0,1.0,1.0
12,427,161,164,0,1.0,1.0,1.0
13,427,162,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
14,427,164,164,0,1.0,1.0,1.0
15,427,164,164,0,1.0,1.0,1.0
16,427,163,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
17,427,149,159,5,0.975609756097561,0.975609756097561,0.9695121951219512
18,427,163,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
19,427,162,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
20,427,164,164,0,1.0,1.0,1.0
21,427,155,164,0,0.9939024390243902,0.9939024390243902,1.0
22,427,163,164,0,1.0,1.0,1.0
23,427,164,164,0,1.0,1.0,1.0
24,427,162,164,0,1.0,1.0,1.0
25,427,164,164,0,1.0,1.0,1.0
26,427,162,162,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
27,427,160,163,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
28,427,163,163,0,1.0,1.0,1.0
29,427,161,162,2,0.9939024390243902,0.9939024390243902,0.9939024390243902
