seed,n,op,wrong,sim
0,0,+,0,0.8539125638299666
0,0,-,0,0.8539125638299666
0,1,+,0,0.8888888888888888
0,1,-,0,0.8999999999999998
0,2,+,0,0.8888888888888888
0,2,-,0,0.8999999999999998
0,3,+,0,0.8695819912499182
0,3,-,0,0.8624999999999998
0,4,+,0,0.8874999999999998
0,4,-,0,0.8874999999999998
0,5,+,0,0.9249999999999998
0,5,-,0,0.9249999999999998
0,6,+,0,0.9249999999999998
0,6,-,0,0.9249999999999998
0,7,+,0,0.8999999999999998
0,7,-,0,0.8999999999999998
0,8,+,0,0.9499999999999998
0,8,-,0,0.9374999999999999
0,9,+,0,0.9499999999999998
0,9,-,0,0.9374999999999999
0,10,+,0,0.8323141916249217
0,10,-,0,0.8323141916249217
0,11,+,0,0.8944271909999159
0,11,-,0,0.8749999999999999
0,12,+,0,0.8944271909999159
0,12,-,0,0.9124999999999999
0,13,+,0,0.8874999999999998
0,13,-,0,0.9124999999999999
0,14,+,0,0.8795180722891566
0,14,-,0,0.8874999999999998
0,15,+,0,0.8969861706961915
0,15,-,0,0.880093150461002
0,16,+,0,0.9013032569427504
0,16,-,0,0.9124999999999999
0,17,+,0,0.9249999999999998
0,17,-,0,0.9249999999999998
0,18,+,0,0.9249999999999998
0,18,-,0,0.9249999999999998
0,19,+,0,0.9249999999999998
0,19,-,0,0.8999999999999998
0,20,+,0,0.9249999999999998
0,20,-,0,0.8999999999999998
0,21,+,0,0.8999999999999998
0,21,-,0,0.8999999999999998
0,22,+,0,0.8999999999999998
0,22,-,0,0.8999999999999998
0,23,+,0,0.8999999999999998
0,23,-,0,0.8999999999999998
0,24,+,0,0.8874999999999998
0,24,-,0,0.8999999999999998
0,25,+,0,0.8874999999999998
0,25,-,0,0.8999999999999998
0,26,+,0,0.9124999999999999
0,26,-,0,0.9249999999999998
0,27,+,0,0.9689627902499088
0,27,-,0,0.9813853901249077
0,28,+,0,0.9689627902499088
0,28,-,0,0.9813853901249077
0,29,+,0,0.9192723907499135
0,29,-,0,0.8944271909999159
0,30,+,0,0.8624999999999998
0,30,-,0,0.8624999999999998
0,31,+,0,0.8695819912499182
0,31,-,0,0.8695819912499182
0,32,+,0,0.9634862821317264
0,32,-,0,0.9643540524534261
0,33,+,0,0.9634862821317264
0,33,-,0,0.9643540524534261
0,34,+,0,0.8590412139291779
0,34,-,0,0.861001468878982
0,35,+,0,0.8374999999999998
0,35,-,0,0.8374999999999998
0,36,+,0,0.9249999999999998
0,36,-,0,0.9136498769008702
0,37,+,0,0.9249999999999998
0,37,-,0,0.9136498769008702
0,38,+,0,0.8889566369846305
0,38,-,0,0.8783100656536799
0,39,+,0,0.8499999999999999
0,39,-,0,0.8499999999999999
0,40,+,0,0.9499999999999998
0,40,-,0,0.9499999999999998
0,41,+,0,0.9499999999999998
0,41,-,0,0.9499999999999998
0,42,+,0,0.9136498769008702
0,42,-,0,0.9124999999999999
0,43,+,0,0.9874999999999998
0,43,-,0,0.9874999999999998
0,44,+,0,0.9874999999999998
0,44,-,0,0.9874999999999998
0,45,+,0,0.9249999999999998
0,45,-,0,0.9249999999999998
0,46,+,0,0.8695819912499182
0,46,-,0,0.8695819912499182
0,47,+,0,0.8624999999999998
