seed,n,op,pred,true,margin
1,64,+,66,65,-0.004445038735866547
2,1,+,1,2,-0.00883374735713005
4,81,-,79,80,-0.010413303971290588
6,80,-,80,79,-0.0009783543646335602
13,62,+,64,63,-0.002856846898794174
16,2,-,0,1,-0.0004964135587215424
17,1,+,1,2,-0.0012996559962630272
17,15,+,14,16,-0.00099249929189682
17,15,-,16,14,-0.0018609315156936646
17,79,-,80,78,-0.0009176433086395264
17,80,-,80,79,-0.0010097622871398926
18,1,+,1,2,-0.012888222932815552
19,78,+,80,79,-0.03331926465034485
26,80,-,80,79,-0.00114353746175766
27,67,+,69,68,-0.03053450584411621
29,81,-,79,80,-0.018694158643484116
