k,n,acc,p_k
0,1944,1.0,1.0
1,1080,1.0,1.0
2,1242,1.0,1.0
3,1296,1.0,1.0
4,1512,1.0,1.0
5,1404,1.0,1.0
6,1728,1.0,1.0
7,1296,1.0,1.0
8,1566,1.0,1.0
9,1296,1.0,1.0
10,108,1.0,1.0
12,216,1.0,1.0
14,108,1.0,1.0
15,108,1.0,1.0
16,162,1.0,1.0
18,216,1.0,1.0
20,108,1.0,1.0
21,108,1.0,1.0
24,216,1.0,1.0
25,54,1.0,1.0
27,108,1.0,1.0
28,108,1.0,1.0
30,108,1.0,1.0
32,108,1.0,1.0
35,108,1.0,1.0
36,162,1.0,1.0
40,108,1.0,1.0
42,108,1.0,1.0
45,108,1.0,1.0
48,108,1.0,1.0
49,54,1.0,1.0
54,108,1.0,1.0
56,108,1.0,1.0
63,108,1.0,1.0
64,54,1.0,1.0
72,108,1.0,1.0
81,54,1.0,1.0
