seed,table,add,subtract,multiply,divide
0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,1.0
