seed,sigma,topk,acc,n_wrong,full,nan,dup_conflict,rank,sec
0,2.0,120,0.012195121951219513,162,0,1,2,160,23.349935054779053
1,2.0,120,0.012195121951219513,162,0,1,0,164,24.61210346221924
2,2.0,120,0.012195121951219513,162,0,1,2,162,27.20318055152893
3,2.0,120,0.012195121951219513,162,0,1,0,164,27.165333032608032
4,2.0,120,0.012195121951219513,162,0,1,0,164,27.57999014854431
5,2.0,120,0.012195121951219513,162,0,1,0,164,26.6454496383667
6,2.0,120,0.012195121951219513,162,0,1,0,163,25.644652605056763
7,2.0,120,0.012195121951219513,162,0,1,0,164,25.651894092559814
8,2.0,120,0.012195121951219513,162,0,1,0,163,23.30263614654541
9,2.0,120,0.012195121951219513,162,0,1,0,164,26.446311235427856
10,2.0,120,0.012195121951219513,162,0,1,0,164,26.379775524139404
11,2.0,120,0.012195121951219513,162,0,1,0,164,25.12230896949768
12,2.0,120,0.012195121951219513,162,0,1,0,163,27.06501579284668
13,2.0,120,0.012195121951219513,162,0,1,0,163,27.552446603775024
14,2.0,120,0.012195121951219513,162,0,1,0,164,27.449790716171265
15,2.0,120,0.012195121951219513,162,0,1,0,163,30.4677095413208
16,2.0,120,0.012195121951219513,162,0,1,2,163,29.644980669021606
17,2.0,120,0.012195121951219513,162,0,1,2,160,29.887211561203003
18,2.0,120,0.012195121951219513,162,0,1,0,164,31.17242670059204
19,2.0,120,0.012195121951219513,162,0,1,0,161,29.03231978416443
20,2.0,120,0.012195121951219513,162,0,1,0,164,29.574896574020386
21,2.0,120,0.012195121951219513,162,0,1,0,158,27.95187020301819
22,2.0,120,0.012195121951219513,162,0,1,0,164,29.062843561172485
23,2.0,120,0.012195121951219513,162,0,1,0,164,24.813720226287842
24,2.0,120,0.012195121951219513,162,0,1,2,163,24.71577739715576
25,2.0,120,0.012195121951219513,162,0,1,0,164,26.491699695587158
26,2.0,120,0.012195121951219513,162,0,1,0,164,24.38705277442932
27,2.0,120,0.012195121951219513,162,0,1,0,164,30.05781364440918
28,2.0,120,0.012195121951219513,162,0,1,0,163,28.24574875831604
29,2.0,120,0.012195121951219513,162,0,1,0,164,24.101354598999023
