seed,sigma,topk,acc,n_wrong,full,nan,dup_conflict,rank,sec
0,2.0,80,1.0,0,1,0,0,161,24.122329473495483
1,2.0,80,1.0,0,1,0,0,164,27.19422507286072
2,2.0,80,1.0,0,1,0,0,164,24.935114860534668
3,2.0,80,1.0,0,1,0,0,163,25.314449787139893
4,2.0,80,1.0,0,1,0,0,164,24.02551817893982
5,2.0,80,1.0,0,1,0,0,164,27.08382773399353
6,2.0,80,1.0,0,1,0,0,164,23.401069402694706
7,2.0,80,1.0,0,1,0,0,164,27.44206976890564
8,2.0,80,1.0,0,1,0,0,164,27.63224983215332
9,2.0,80,1.0,0,1,0,0,164,23.421039581298828
10,2.0,80,1.0,0,1,0,0,164,28.15485024452209
11,2.0,80,0.9939024390243902,1,0,0,2,163,24.06633234024048
12,2.0,80,1.0,0,1,0,0,161,27.070283889770508
13,2.0,80,1.0,0,1,0,0,164,23.532195329666138
14,2.0,80,1.0,0,1,0,0,162,26.52862238883972
15,2.0,80,1.0,0,1,0,0,164,27.96886658668518
16,2.0,80,0.9939024390243902,1,0,0,2,163,27.278327226638797
17,2.0,80,1.0,0,1,0,0,151,26.1535804271698
18,2.0,80,1.0,0,1,0,0,163,25.967556953430176
19,2.0,80,1.0,0,1,0,0,163,27.34870147705078
20,2.0,80,1.0,0,1,0,0,164,23.49775433540344
21,2.0,80,1.0,0,1,0,0,154,26.73475480079651
22,2.0,80,1.0,0,1,0,0,163,24.921793460845947
23,2.0,80,1.0,0,1,0,0,163,26.799503564834595
24,2.0,80,1.0,0,1,0,0,163,29.297520875930783
25,2.0,80,1.0,0,1,0,0,164,25.597212314605716
26,2.0,80,1.0,0,1,0,0,163,26.767643451690677
27,2.0,80,1.0,0,1,0,0,163,28.44631052017212
28,2.0,80,1.0,0,1,0,0,164,26.73710584640503
29,2.0,80,1.0,0,1,0,0,163,27.129350423812863
0,2.0,120,0.0121951219512195,162,0,1,2,160,23.349935054779053
1,2.0,120,0.0121951219512195,162,0,1,0,164,24.61210346221924
2,2.0,120,0.0121951219512195,162,0,1,2,162,27.20318055152893
3,2.0,120,0.0121951219512195,162,0,1,0,164,27.165333032608032
4,2.0,120,0.0121951219512195,162,0,1,0,164,27.57999014854431
5,2.0,120,0.0121951219512195,162,0,1,0,164,26.6454496383667
6,2.0,120,0.0121951219512195,162,0,1,0,163,25.644652605056763
7,2.0,120,0.0121951219512195,162,0,1,0,164,25.65189409255981
8,2.0,120,0.0121951219512195,162,0,1,0,163,23.30263614654541
9,2.0,120,0.0121951219512195,162,0,1,0,164,26.446311235427856
10,2.0,120,0.0121951219512195,162,0,1,0,164,26.379775524139404
11,2.0,120,0.0121951219512195,162,0,1,0,164,25.12230896949768
12,2.0,120,0.0121951219512195,162,0,1,0,163,27.06501579284668
13,2.0,120,0.0121951219512195,162,0,1,0,163,27.552446603775024
14,2.0,120,0.0121951219512195,162,0,1,0,164,27.449790716171265
15,2.0,120,0.0121951219512195,162,0,1,0,163,30.4677095413208
16,2.0,120,0.0121951219512195,162,0,1,2,163,29.644980669021606
17,2.0,120,0.0121951219512195,162,0,1,2,160,29.887211561203003
18,2.0,120,0.0121951219512195,162,0,1,0,164,31.17242670059204
19,2.0,120,0.0121951219512195,162,0,1,0,161,29.03231978416443
20,2.0,120,0.0121951219512195,162,0,1,0,164,29.574896574020386
21,2.0,120,0.0121951219512195,162,0,1,0,158,27.95187020301819
22,2.0,120,0.0121951219512195,162,0,1,0,164,29.062843561172485
23,2.0,120,0.0121951219512195,162,0,1,0,164,24.81372022628784
