kume,root_id,subtype,x,y,z,pc1,pc2,r,angle_deg
EPG,720575940614297640,EPG,138008.0,24160.0,3417.0,-6121.039397160542,9399.956332442847,11217.232383855826,123.07126679677974
EPG,720575940626449082,EPG,139176.0,24504.0,3444.0,-7276.798932252246,9015.90077726387,11586.124007876608,128.90725112055313
EPG,720575940619006272,EPG,137144.0,24640.0,3473.0,-5241.243470732436,8946.132271776783,10368.409508869787,120.36462892874118
EPG,720575940631708836,EPG,136808.0,24224.0,3204.0,-4921.727753482464,9396.04073313242,10607.025291667933,117.6459377124766
EPG,720575940658101889,EPG,119392.0,34144.0,5072.0,12827.935776199294,-62.76814576420791,12828.08934013232,359.7196492715795
EPG,720575940613829900,EPG,131352.0,24680.0,3235.0,546.3414648654533,9122.593827594248,9138.939059841246,86.57271644107377
EPG,720575940631125036,EPG,130664.0,23328.0,2975.0,1187.01705138178,10515.04590479031,10581.83348291394,83.55929062313264
EPG,720575940628493572,EPG,150336.0,41288.0,5335.0,-17860.851431189167,-8235.966193928463,19668.277834994722,204.75529342396075
EPG,720575940611216099,EPG,142648.0,27800.0,4129.0,-10631.87443204136,5556.335353381843,11996.233429620139,152.407933145957
EPG,720575940619296365,EPG,123240.0,28200.0,4278.0,8779.325697683009,5796.353189180616,10520.183933740016,33.43389415032534
EPG,720575940638850512,EPG,124768.0,27896.0,4122.0,7240.7172587743225,6061.863522702265,9443.207918360193,39.935767555228196
EPG,720575940620419354,EPGt,147328.0,46848.0,5374.0,-14671.742442754696,-13672.065259003308,20054.560447762866,222.980033177679
EPG,720575940626315207,EPG,119320.0,40856.0,5508.0,13124.464680150151,-6780.292372485772,14772.40460442705,332.67845545952747
EPG,720575940627140551,EPG,142568.0,28976.0,4105.0,-10513.557235218828,4390.812790282069,11393.600076250123,157.33295463293
EPG,720575940620020694,EPG,149304.0,40984.0,5319.0,-16839.591536433458,-7897.293482643882,18599.43782658312,205.1252526944428
