seed,neuropil,cells,edges,largest_scc
0,AVLP_L,5022,368725,4215
1,IPS_L,4469,126502,3472
2,MB_ML_R,4202,139808,3576
3,AL_R,3739,140612,3166
4,LAL_R,2757,85096,1910
5,PLP_R,8922,228302,6741
6,LAL_R,2757,85096,1910
7,CRE_L,5813,132535,4950
8,GA_L,500,3869,248
9,SPS_L,5403,158658,4248
10,FLA_R,2196,43385,1650
11,ME_R,36693,2598890,36396
12,PLP_L,9371,252745,7230
13,MB_VL_R,2824,54638,2107
14,SIP_R,4929,92175,3516
15,AOTU_L,1700,46924,1406
16,WED_R,3502,78387,2485
17,ICL_L,4997,122152,3514
18,PVLP_R,5554,218402,4326
19,SCL_L,5869,110570,4453
20,SAD,7697,171786,5572
21,ICL_L,4997,122152,3514
22,ME_R,36693,2598890,36396
23,ICL_L,4997,122152,3514
24,LH_R,4492,216557,3486
25,VES_R,2705,66708,1974
26,CRE_L,5813,132535,4950
27,IPS_R,4445,119387,3331
28,SIP_R,4929,92175,3516
29,MB_CA_L,3837,48438,3069
