neuropil,rows
ME_R,2598890
ME_L,2426813
LO_L,1380744
LO_R,1375872
LOP_R,613882
GNG,544508
AVLP_R,452236
LOP_L,447405
AVLP_L,368725
SMP_R,305052
SLP_R,296717
SMP_L,288021
PVLP_L,270866
PLP_L,252745
SLP_L,250796
PLP_R,228302
FB,226311
PVLP_R,218402
LH_R,216557
LH_L,199215
SPS_R,197289
SAD,171786
MB_ML_L,168097
SPS_L,158658
AL_R,140612
AL_L,140046
MB_ML_R,139808
CRE_R,133999
CRE_L,132535
ICL_R,130593
IPS_L,126502
SCL_R,123841
ICL_L,122152
IPS_R,119387
SCL_L,110570
SIP_R,92175
LAL_L,90474
SIP_L,89219
PRW,86874
LAL_R,85096
WED_R,78387
LA_R,70833
MB_PED_L,68149
VES_R,66708
VES_L,65694
MB_PED_R,65532
WED_L,61304
IB_R,60487
IB_L,56460
MB_VL_R,54638
AOTU_R,51272
MB_VL_L,48848
MB_CA_L,48438
AOTU_L,46924
MB_CA_R,45331
EB,45030
FLA_R,43385
LA_L,39574
FLA_L,35957
AMMC_R,32689
AMMC_L,31842
GOR_R,30751
GOR_L,30605
EPA_L,24044
NO,21576
EPA_R,19048
ATL_L,16961
PB,15261
ATL_R,15034
CAN_R,6774
CAN_L,5303
AME_L,3942
AME_R,3881
GA_L,3869
UNASGD,3193
OCG,2690
GA_R,2476
BU_R,1989
BU_L,1346
