neuropil,cells,edges,largest_scc
ME_L,36841,2426813,36438
ME_R,36693,2598890,36396
LO_L,23282,1380744,22702
LO_R,23059,1375872,22315
LOP_R,14694,613882,12090
LOP_L,14185,447405,11786
GNG,11250,544508,9794
LA_R,11381,70833,7554
PLP_L,9371,252745,7230
PLP_R,8922,228302,6741
SMP_R,7099,305052,6026
SMP_L,7111,288021,6008
SAD,7697,171786,5572
SLP_L,6504,250796,5457
SLP_R,6639,296717,5406
AVLP_R,6181,452236,5310
SCL_R,6436,123841,4959
PVLP_L,6344,270866,4956
CRE_L,5813,132535,4950
CRE_R,5769,133999,4893
SPS_R,6050,197289,4860
SCL_L,5869,110570,4453
PVLP_R,5554,218402,4326
SPS_L,5403,158658,4248
AVLP_L,5022,368725,4215
SIP_L,5257,89219,4093
LA_L,8800,39574,4037
ICL_R,5121,130593,3792
LH_L,4749,199215,3679
MB_ML_L,4359,168097,3657
MB_ML_R,4202,139808,3576
MB_PED_R,4285,65532,3517
SIP_R,4929,92175,3516
ICL_L,4997,122152,3514
LH_R,4492,216557,3486
MB_PED_L,4143,68149,3481
IPS_L,4469,126502,3472
IPS_R,4445,119387,3331
AL_R,3739,140612,3166
MB_CA_R,3715,45331,3072
MB_CA_L,3837,48438,3069
AL_L,3616,140046,2954
FB,3875,226311,2791
WED_R,3502,78387,2485
MB_VL_L,3120,48848,2436
WED_L,3456,61304,2327
LAL_L,3098,90474,2289
IB_L,3176,56460,2231
IB_R,3135,60487,2228
MB_VL_R,2824,54638,2107
VES_R,2705,66708,1974
LAL_R,2757,85096,1910
VES_L,2652,65694,1898
PRW,2348,86874,1858
FLA_R,2196,43385,1650
FLA_L,2023,35957,1505
AOTU_R,1854,51272,1476
AOTU_L,1700,46924,1406
GOR_R,1979,30751,1385
GOR_L,1956,30605,1376
EPA_L,1816,24044,1322
AMMC_R,1937,32689,1257
AMMC_L,1667,31842,1161
EPA_R,1615,19048,1087
ATL_L,1672,16961,1037
ATL_R,1606,15034,942
NO,1232,21576,789
PB,1939,15261,568
EB,1420,45030,499
CAN_R,1049,6774,470
OCG,347,2690,325
CAN_L,606,5303,309
AME_L,664,3942,269
GA_L,500,3869,248
AME_R,720,3881,248
GA_R,386,2476,172
BU_R,422,1989,124
BU_L,334,1346,75
UNASGD,4546,3193,9
