arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_agirlik,3,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_agirlik,3,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_agirlik,3,T1,2,20,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
A_agirlik,3,T1,2,40,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
A_agirlik,3,T1,4,0,0.7916666666666666,0.775,0.0001,9.0,5.0,0.2,,,,,,
A_agirlik,3,T1,4,10,0.7916666666666666,0.775,1e-05,9.0,5.0,0.2,,,,,,
A_agirlik,3,T1,4,20,0.8,0.775,1e-05,9.0,5.0,0.2,,,,,,
A_agirlik,3,T1,4,40,0.7666666666666667,0.7,1e-05,9.0,5.0,0.2,,,,,,
A_agirlik,3,T1,6,0,0.5583333333333333,0.5083333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_agirlik,3,T1,6,10,0.55,0.5416666666666666,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_agirlik,3,T1,6,20,0.625,0.525,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_agirlik,3,T1,6,40,0.575,0.4083333333333333,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_agirlik,3,T1,8,0,0.36666666666666664,0.4083333333333333,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,8,10,0.5166666666666667,0.4666666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,8,20,0.4583333333333333,0.49166666666666664,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,8,40,0.325,0.35,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,10,0,0.4083333333333333,0.4083333333333333,0.0001,21.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,diag,10,0,,,,,,,0.0,0.024250779581952396,0.0821529745042493,1.029220965098009,,
A_agirlik,3,T1,10,10,0.325,0.35833333333333334,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,10,20,0.35833333333333334,0.325,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T1,10,40,0.25,0.275,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_agirlik,3,T3,9,0,0.0,0.8471953578336557,1e-06,,,,,,,,7.0,0.0
A_agirlik,3,T3,10,0,0.9,0.8297872340425532,1e-06,,,,,,,,8.0,1.0
A_agirlik,3,T3,9,0,0.0,0.8452611218568665,1e-06,,,,,,,,9.0,0.0
A_agirlik,3,T3,10,0,1.0,0.8355899419729207,1e-06,,,,,,,,10.0,1.0
A_agirlik,3,T3_x0,10,0,0.0,0.839458413926499,1e-06,,,,,,,,8.0,0.0
