arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_dengeli,3,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_dengeli,3,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_dengeli,3,T1,2,20,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_dengeli,3,T1,2,40,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_dengeli,3,T1,4,0,0.8666666666666667,0.85,0.0001,9.0,5.0,0.2,,,,,,
A_dengeli,3,T1,4,10,0.9,0.9583333333333334,1e-06,9.0,5.0,0.2,,,,,,
A_dengeli,3,T1,4,20,0.8666666666666667,0.85,1e-05,9.0,5.0,0.2,,,,,,
A_dengeli,3,T1,4,40,0.8166666666666667,0.8083333333333333,0.0001,9.0,5.0,0.2,,,,,,
A_dengeli,3,T1,6,0,0.6083333333333333,0.5166666666666667,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_dengeli,3,T1,6,10,0.5583333333333333,0.5166666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_dengeli,3,T1,6,20,0.525,0.49166666666666664,0.001,13.0,7.0,0.14285714285714285,,,,,,
A_dengeli,3,T1,6,40,0.525,0.48333333333333334,0.0001,13.0,7.0,0.14285714285714285,,,,,,
A_dengeli,3,T1,8,0,0.3333333333333333,0.36666666666666664,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,8,10,0.36666666666666664,0.38333333333333336,0.0001,17.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,8,20,0.4166666666666667,0.4,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,8,40,0.375,0.375,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,10,0,0.375,0.31666666666666665,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,diag,10,0,,,,,,,0.0,0.004875172848062201,0.024787535410764873,1.0808133364690315,,
A_dengeli,3,T1,10,10,0.36666666666666664,0.3416666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,10,20,0.35,0.3333333333333333,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T1,10,40,0.25833333333333336,0.2833333333333333,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_dengeli,3,T3,9,0,0.8,0.4816247582205029,1e-06,,,,,,,,7.0,1.0
A_dengeli,3,T3,10,0,0.2,0.4758220502901354,1e-06,,,,,,,,8.0,0.9
A_dengeli,3,T3,9,0,0.82,0.5106382978723404,1e-06,,,,,,,,9.0,1.0
A_dengeli,3,T3,10,0,0.0,0.4990328820116054,1e-06,,,,,,,,10.0,0.44
A_dengeli,3,T3_x0,10,0,0.02,0.5009671179883946,1e-06,,,,,,,,8.0,0.22
