arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_derece,14,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,14,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,14,T1,2,20,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,14,T1,2,40,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_derece,14,T1,4,0,0.925,0.9416666666666667,1e-06,9.0,5.0,0.2,,,,,,
A_derece,14,T1,4,10,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,14,T1,4,20,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,14,T1,4,40,1.0,1.0,1e-06,9.0,5.0,0.2,,,,,,
A_derece,14,T1,6,0,0.75,0.8166666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,14,T1,6,10,0.8666666666666667,0.9166666666666666,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,14,T1,6,20,0.9666666666666667,0.9833333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,14,T1,6,40,1.0,1.0,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_derece,14,T1,8,0,0.525,0.45,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,8,10,0.6333333333333333,0.6333333333333333,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,8,20,0.7416666666666667,0.7666666666666667,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,8,40,0.7833333333333333,0.7833333333333333,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,10,0,0.3333333333333333,0.4583333333333333,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,14,diag,10,0,,,,,,,0.0019449690483684817,0.1582553682254754,0.6669027384324835,1.6777410384459917,,
A_derece,14,T1,10,10,0.4,0.48333333333333334,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,10,20,0.38333333333333336,0.4583333333333333,0.1,21.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T1,10,40,0.43333333333333335,0.48333333333333334,0.01,21.0,9.0,0.1111111111111111,,,,,,
A_derece,14,T3,9,0,0.0,1.0,1e-06,,,,,,,,7.0,0.0
A_derece,14,T3,10,0,1.0,1.0,1e-06,,,,,,,,8.0,1.0
A_derece,14,T3,9,0,0.0,1.0,1e-06,,,,,,,,9.0,0.0
A_derece,14,T3,10,0,1.0,1.0,1e-06,,,,,,,,10.0,1.0
A_derece,14,T3_x0,10,0,0.06,1.0,1e-06,,,,,,,,8.0,0.14
