arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_er,14,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_er,14,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_er,14,T1,2,20,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_er,14,T1,2,40,0.875,0.9166666666666666,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_er,14,T1,4,0,0.7916666666666666,0.85,1e-05,9.0,5.0,0.2,,,,,,
A_er,14,T1,4,10,0.8,0.85,1e-05,9.0,5.0,0.2,,,,,,
A_er,14,T1,4,20,0.7833333333333333,0.825,1e-05,9.0,5.0,0.2,,,,,,
A_er,14,T1,4,40,0.4166666666666667,0.375,1e-05,9.0,5.0,0.2,,,,,,
A_er,14,T1,6,0,0.725,0.6916666666666667,0.0001,13.0,7.0,0.14285714285714285,,,,,,
A_er,14,T1,6,10,0.7333333333333333,0.7083333333333334,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_er,14,T1,6,20,0.43333333333333335,0.4083333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_er,14,T1,6,40,0.2916666666666667,0.3416666666666667,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_er,14,T1,8,0,0.525,0.5416666666666666,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,8,10,0.3333333333333333,0.43333333333333335,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,8,20,0.30833333333333335,0.30833333333333335,0.0001,17.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,8,40,0.31666666666666665,0.3333333333333333,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,10,0,0.325,0.375,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_er,14,diag,10,0,,,,,,,0.037938918616444585,0.500553893032132,0.9296506137865911,1.042426164630842,,
A_er,14,T1,10,10,0.23333333333333334,0.30833333333333335,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,10,20,0.26666666666666666,0.30833333333333335,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_er,14,T1,10,40,0.275,0.3,0.0001,21.0,9.0,0.1111111111111111,,,,,,
A_er,14,T3,9,0,0.0,0.3269230769230769,1e-06,,,,,,,,7.0,0.0
A_er,14,T3,10,0,0.0,0.27884615384615385,1.0,,,,,,,,8.0,0.0
A_er,14,T3,9,0,0.0,0.3192307692307692,1e-06,,,,,,,,9.0,0.0
A_er,14,T3,10,0,0.0,0.3173076923076923,1e-06,,,,,,,,10.0,0.0
A_er,14,T3_x0,10,0,0.0,0.31346153846153846,1e-06,,,,,,,,8.0,0.0
