arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_isaretperm,1,T1,2,0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_isaretperm,1,T1,2,10,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_isaretperm,1,T1,2,20,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_isaretperm,1,T1,2,40,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_isaretperm,1,T1,4,0,0.8,0.8333333333333334,1e-06,9.0,5.0,0.2,,,,,,
A_isaretperm,1,T1,4,10,0.8,0.7833333333333333,0.0001,9.0,5.0,0.2,,,,,,
A_isaretperm,1,T1,4,20,0.8,0.7833333333333333,0.001,9.0,5.0,0.2,,,,,,
A_isaretperm,1,T1,4,40,0.7,0.7166666666666667,1e-05,9.0,5.0,0.2,,,,,,
A_isaretperm,1,T1,6,0,0.6,0.6166666666666667,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_isaretperm,1,T1,6,10,0.625,0.55,0.001,13.0,7.0,0.14285714285714285,,,,,,
A_isaretperm,1,T1,6,20,0.5083333333333333,0.5416666666666666,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_isaretperm,1,T1,6,40,0.6666666666666666,0.5083333333333333,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_isaretperm,1,T1,8,0,0.43333333333333335,0.43333333333333335,0.001,17.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,8,10,0.39166666666666666,0.4083333333333333,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,8,20,0.4083333333333333,0.35833333333333334,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,8,40,0.5416666666666666,0.4166666666666667,1e-05,17.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,10,0,0.44166666666666665,0.44166666666666665,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,diag,10,0,,,,,,,0.00023607176581680832,0.04330606659651332,0.12842304060434373,1.0149807760324565,,
A_isaretperm,1,T1,10,10,0.375,0.44166666666666665,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,10,20,0.425,0.4,0.0001,21.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T1,10,40,0.39166666666666666,0.35833333333333334,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_isaretperm,1,T3,9,0,0.0,1.0,1e-06,,,,,,,,7.0,0.0
A_isaretperm,1,T3,10,0,0.76,1.0,1e-06,,,,,,,,8.0,1.0
A_isaretperm,1,T3,9,0,0.0,1.0,1e-06,,,,,,,,9.0,0.0
A_isaretperm,1,T3,10,0,0.0,1.0,1e-06,,,,,,,,10.0,1.0
A_isaretperm,1,T3_x0,10,0,0.0,1.0,1e-06,,,,,,,,8.0,0.02
