arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
A_w0,1,T1,2.0,0.0,0.5666666666666667,0.5833333333333334,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,1,T1,2.0,10.0,0.5666666666666667,0.5416666666666666,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,1,T1,2.0,20.0,0.6583333333333333,0.5833333333333334,1e-06,5.0,3.0,0.3333333333333333,,,,,,
A_w0,1,T1,2.0,40.0,0.5,0.5,1e-05,5.0,3.0,0.3333333333333333,,,,,,
A_w0,1,T1,4.0,0.0,0.3333333333333333,0.35833333333333334,1e-06,9.0,5.0,0.2,,,,,,
A_w0,1,T1,4.0,10.0,0.3416666666666667,0.36666666666666664,1e-05,9.0,5.0,0.2,,,,,,
A_w0,1,T1,4.0,20.0,0.3416666666666667,0.35833333333333334,1e-05,9.0,5.0,0.2,,,,,,
A_w0,1,T1,4.0,40.0,0.35833333333333334,0.35833333333333334,1e-06,9.0,5.0,0.2,,,,,,
A_w0,1,T1,6.0,0.0,0.3333333333333333,0.31666666666666665,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_w0,1,T1,6.0,10.0,0.31666666666666665,0.3,0.0001,13.0,7.0,0.14285714285714285,,,,,,
A_w0,1,T1,6.0,20.0,0.30833333333333335,0.30833333333333335,1e-05,13.0,7.0,0.14285714285714285,,,,,,
A_w0,1,T1,6.0,40.0,0.325,0.3333333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
A_w0,1,T1,8.0,0.0,0.2833333333333333,0.25833333333333336,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,8.0,10.0,0.275,0.24166666666666667,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,8.0,20.0,0.25833333333333336,0.225,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,8.0,40.0,0.225,0.225,1e-06,17.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,10.0,0.0,0.21666666666666667,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,1,diag,10.0,0.0,,,,,,,0.0,0.0028152984084803636,0.023607176581680833,1.0000000000000047,,
A_w0,1,T1,10.0,10.0,0.2,0.30833333333333335,1e-06,21.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,10.0,20.0,0.21666666666666667,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T1,10.0,40.0,0.21666666666666667,0.2916666666666667,1e-05,21.0,9.0,0.1111111111111111,,,,,,
A_w0,1,T3,9.0,0.0,0.0,0.07961165048543689,1e-06,,,,,,,,7.0,0.0
A_w0,1,T3,10.0,0.0,0.0,0.05631067961165048,1e-06,,,,,,,,8.0,0.0
A_w0,1,T3,9.0,0.0,0.0,0.08349514563106795,1e-06,,,,,,,,9.0,0.0
A_w0,1,T3,10.0,0.0,0.0,0.0854368932038835,1e-06,,,,,,,,10.0,0.0
A_w0,1,T3_x0,10.0,0.0,0.0,0.0912621359223301,1e-06,,,,,,,,8.0,0.0
A_w0,1,T2,,,0.33790413636287836,,1e-06,,,,,,,,,
A_w0,1,T2_lag,1.0,,0.17523548306419684,,,,,,,,,,,
A_w0,1,T2_lag,2.0,,0.04067184902018036,,,,,,,,,,,
A_w0,1,T2_lag,3.0,,0.005386595685923053,,,,,,,,,,,
A_w0,1,T2_lag,4.0,,1.5329320641823265e-05,,,,,,,,,,,
A_w0,1,T2_lag,5.0,,0.0016711347377596885,,,,,,,,,,,
A_w0,1,T2_lag,6.0,,3.829506200215732e-05,,,,,,,,,,,
A_w0,1,T2_lag,7.0,,4.571803711667059e-05,,,,,,,,,,,
A_w0,1,T2_lag,8.0,,0.0013989004722583347,,,,,,,,,,,
A_w0,1,T2_lag,9.0,,1.708078714638235e-09,,,,,,,,,,,
A_w0,1,T2_lag,10.0,,0.0008781337537474612,,,,,,,,,,,
A_w0,1,T2_lag,11.0,,0.003449941355192483,,,,,,,,,,,
A_w0,1,T2_lag,12.0,,0.0007987288018179309,,,,,,,,,,,
A_w0,1,T2_lag,13.0,,0.0012443978204100528,,,,,,,,,,,
A_w0,1,T2_lag,14.0,,0.0013112530268941326,,,,,,,,,,,
A_w0,1,T2_lag,15.0,,0.00021908929372954565,,,,,,,,,,,
A_w0,1,T2_lag,16.0,,0.00012831207312581235,,,,,,,,,,,
A_w0,1,T2_lag,17.0,,0.0003041218814597248,,,,,,,,,,,
A_w0,1,T2_lag,18.0,,0.0014715912484095119,,,,,,,,,,,
A_w0,1,T2_lag,19.0,,0.004279172261462883,,,,,,,,,,,
A_w0,1,T2_lag,20.0,,3.2044043960396236e-05,,,,,,,,,,,
A_w0,1,T2_lag,21.0,,0.0007888846800781131,,,,,,,,,,,
A_w0,1,T2_lag,22.0,,0.008870852672203987,,,,,,,,,,,
A_w0,1,T2_lag,23.0,,0.003764613353793929,,,,,,,,,,,
A_w0,1,T2_lag,24.0,,1.1379602513461351e-05,,,,,,,,,,,
A_w0,1,T2_lag,25.0,,0.000908118667153497,,,,,,,,,,,
A_w0,1,T2_lag,26.0,,0.0063735423719550564,,,,,,,,,,,
A_w0,1,T2_lag,27.0,,0.0034367277288543997,,,,,,,,,,,
A_w0,1,T2_lag,28.0,,4.799869935008193e-05,,,,,,,,,,,
A_w0,1,T2_lag,29.0,,4.290449916091418e-06,,,,,,,,,,,
A_w0,1,T2_lag,30.0,,0.0012255540349273837,,,,,,,,,,,
A_w0,1,T2_lag,31.0,,0.004766896588241983,,,,,,,,,,,
A_w0,1,T2_lag,32.0,,0.0001598453514933782,,,,,,,,,,,
A_w0,1,T2_lag,33.0,,0.00054385544409776,,,,,,,,,,,
A_w0,1,T2_lag,34.0,,0.002502872450440059,,,,,,,,,,,
A_w0,1,T2_lag,35.0,,0.005207958513097342,,,,,,,,,,,
A_w0,1,T2_lag,36.0,,0.0009324277000279213,,,,,,,,,,,
A_w0,1,T2_lag,37.0,,0.009959700797277267,,,,,,,,,,,
A_w0,1,T2_lag,38.0,,0.0019719912608259717,,,,,,,,,,,
A_w0,1,T2_lag,39.0,,0.003420660141118785,,,,,,,,,,,
A_w0,1,T2_lag,40.0,,0.0025045307451275695,,,,,,,,,,,
A_w0,1,T2_lag,41.0,,0.0019131059085818792,,,,,,,,,,,
A_w0,1,T2_lag,42.0,,0.0001467348951960761,,,,,,,,,,,
A_w0,1,T2_lag,43.0,,8.762315893527878e-05,,,,,,,,,,,
A_w0,1,T2_lag,44.0,,6.284910651322366e-05,,,,,,,,,,,
A_w0,1,T2_lag,45.0,,1.338026067959117e-05,,,,,,,,,,,
A_w0,1,T2_lag,46.0,,0.00546522452107023,,,,,,,,,,,
A_w0,1,T2_lag,47.0,,0.00026119603106418795,,,,,,,,,,,
A_w0,1,T2_lag,48.0,,0.0009730544276241976,,,,,,,,,,,
A_w0,1,T2_lag,49.0,,0.000263472817600515,,,,,,,,,,,
A_w0,1,T2_lag,50.0,,0.00282146063779133,,,,,,,,,,,
A_w0,1,T2_lag,51.0,,0.006038634277728939,,,,,,,,,,,
A_w0,1,T2_lag,52.0,,0.005638635828474592,,,,,,,,,,,
A_w0,1,T2_lag,53.0,,0.0022553875847015114,,,,,,,,,,,
A_w0,1,T2_lag,54.0,,0.0021905002108099053,,,,,,,,,,,
A_w0,1,T2_lag,55.0,,0.0003212104801853858,,,,,,,,,,,
A_w0,1,T2_lag,56.0,,0.004811704250097185,,,,,,,,,,,
A_w0,1,T2_lag,57.0,,0.0007291601247384546,,,,,,,,,,,
A_w0,1,T2_lag,58.0,,0.0005159774201442204,,,,,,,,,,,
A_w0,1,T2_lag,59.0,,0.001616581819266266,,,,,,,,,,,
A_w0,1,T2_lag,60.0,,0.0057954486808138115,,,,,,,,,,,
A_w0,1,T4,,0.5,6.1974210903399434e-61,6.143463644983769e-61,,,,,,,,,,
A_w0,1,T4,,0.8,6.1974210903399434e-61,6.143463644983769e-61,,,,,,,,,,
A_w0,1,T4,,0.95,6.1974210903399434e-61,6.143463644983769e-61,,,,,,,,,,
A_w0,1,T4,,1.1,6.1974210903399434e-61,6.143463644983769e-61,,,,,,,,,,
A_w0,1,T4,,1.3,6.1974210903399434e-61,6.143463644983769e-61,,,,,,,,,,
