arm,seed,task,k,H,acc,val,lam,n_classes,reachable,chance,sat,activity,active_frac,participation_ratio,target,tol
B_gercek,7,T1,2.0,0.0,1.0,1.0,1e-06,5.0,3.0,0.3333333333333333,,,,,,
B_gercek,7,T1,2.0,10.0,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_gercek,7,T1,2.0,20.0,1.0,1.0,1e-05,5.0,3.0,0.3333333333333333,,,,,,
B_gercek,7,T1,2.0,40.0,0.6666666666666666,0.6583333333333333,1e-06,5.0,3.0,0.3333333333333333,,,,,,
B_gercek,7,T1,4.0,0.0,0.7916666666666666,0.8333333333333334,1e-05,9.0,5.0,0.2,,,,,,
B_gercek,7,T1,4.0,10.0,0.7916666666666666,0.8333333333333334,1e-05,9.0,5.0,0.2,,,,,,
B_gercek,7,T1,4.0,20.0,0.35833333333333334,0.425,0.0001,9.0,5.0,0.2,,,,,,
B_gercek,7,T1,4.0,40.0,0.36666666666666664,0.36666666666666664,1e-05,9.0,5.0,0.2,,,,,,
B_gercek,7,T1,6.0,0.0,0.3333333333333333,0.38333333333333336,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_gercek,7,T1,6.0,10.0,0.325,0.3333333333333333,0.1,13.0,7.0,0.14285714285714285,,,,,,
B_gercek,7,T1,6.0,20.0,0.2916666666666667,0.3333333333333333,0.0001,13.0,7.0,0.14285714285714285,,,,,,
B_gercek,7,T1,6.0,40.0,0.3,0.3333333333333333,1e-06,13.0,7.0,0.14285714285714285,,,,,,
B_gercek,7,T1,8.0,0.0,0.25833333333333336,0.25833333333333336,0.0001,17.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,T1,8.0,10.0,0.25833333333333336,0.24166666666666667,0.0001,17.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,T1,8.0,20.0,0.23333333333333334,0.24166666666666667,0.01,17.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,T1,8.0,40.0,0.225,0.25833333333333336,1e-06,17.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,T1,10.0,0.0,0.3,0.25,0.1,21.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,diag,10.0,0.0,,,,,,,0.0,0.002618293027175384,0.01783166904422254,1.0001875048303082,,
B_gercek,7,T1,10.0,10.0,0.275,0.23333333333333334,0.1,21.0,9.0,0.1111111111111111,,,,,,
B_gercek,7,T1,10.0,20.0,0.25,0.21666666666666667,0.0001,21.0,9.0,0.1111111111111111,,,,,,
