arm,shape,N,E,rho_raw,pos,neg
A_gercek,A,4236,298441,634.9895023481057,153400,145041
A_derece,A,4236,298441,115.79907052491883,153400,145041
A_agirlik,A,4236,298441,278.45460800779625,153400,145041
A_er,A,4236,310545,125.84812771204992,213397,97148
A_isaretperm,A,4236,298373,423.53324121219146,205540,92833
A_dengeli,A,4236,298532,235.73704540732587,153632,144900
A_w0,A,4236,0,0.0,0,0
B_gercek,B,5608,523784,1431.9105604899555,508185,15599
B_derece,B,5608,523784,243.72502748761775,508185,15599
B_agirlik,B,5608,523784,251.61236418699505,508185,15599
B_er,B,5608,545016,221.98302782496447,540460,4556
B_isaretperm,B,5608,523784,2055.434595193998,519429,4355
B_dengeli,B,5608,523784,1775.6531702027412,260694,263090
