arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_derece,15,T1,2,0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,15,T1,2,10,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,15,T1,2,20,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_derece,15,T1,4,0,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,15,T1,4,10,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,15,T1,4,20,1.0,1.0,1e-06,5.0,0.2,,,,
A_derece,15,T1,6,0,0.7833333333333333,0.775,1e-06,7.0,0.14285714285714285,,,,
A_derece,15,T1,6,10,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_derece,15,T1,6,20,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_derece,15,T1,8,0,0.6166666666666667,0.5833333333333334,1e-06,9.0,0.1111111111111111,,,,
A_derece,15,T1,8,10,0.6666666666666666,0.6416666666666667,1e-06,9.0,0.1111111111111111,,,,
A_derece,15,T1,8,20,0.7083333333333334,0.6583333333333333,1e-06,9.0,0.1111111111111111,,,,
A_derece,15,T1,10,0,0.21666666666666667,0.31666666666666665,0.1,9.0,0.1111111111111111,,,,
A_derece,15,diag,10,0,,,,,,0.6466936837687546,0.7938674730818458,0.9775731822474032,10.945503057447493
A_derece,15,T1,10,10,0.21666666666666667,0.2833333333333333,1.0,9.0,0.1111111111111111,,,,
A_derece,15,T1,10,20,0.2,0.25,1.0,9.0,0.1111111111111111,,,,
