arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_er,9,T1,2,0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,9,T1,2,10,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,9,T1,2,20,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_er,9,T1,4,0,0.875,0.9,1e-06,5.0,0.2,,,,
A_er,9,T1,4,10,1.0,1.0,1e-06,5.0,0.2,,,,
A_er,9,T1,4,20,1.0,1.0,1e-06,5.0,0.2,,,,
A_er,9,T1,6,0,0.6,0.7,1e-06,7.0,0.14285714285714285,,,,
A_er,9,T1,6,10,0.8416666666666667,0.8833333333333333,1e-06,7.0,0.14285714285714285,,,,
A_er,9,T1,6,20,0.925,0.9083333333333333,1e-06,7.0,0.14285714285714285,,,,
A_er,9,T1,8,0,0.35,0.4166666666666667,1e-05,9.0,0.1111111111111111,,,,
A_er,9,T1,8,10,0.575,0.5583333333333333,1e-06,9.0,0.1111111111111111,,,,
A_er,9,T1,8,20,0.7,0.625,1e-06,9.0,0.1111111111111111,,,,
A_er,9,T1,10,0,0.26666666666666666,0.275,0.0001,9.0,0.1111111111111111,,,,
A_er,9,diag,10,0,,,,,,0.9511641835414262,0.976890343670725,0.9997639282341831,1.4769036078149398
A_er,9,T1,10,10,0.23333333333333334,0.2833333333333333,0.1,9.0,0.1111111111111111,,,,
A_er,9,T1,10,20,0.2916666666666667,0.26666666666666666,1.0,9.0,0.1111111111111111,,,,
