arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_gercek,15,T1,2.0,0.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,15,T1,2.0,10.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,15,T1,2.0,20.0,1.0,1.0,1e-06,3.0,0.3333333333333333,,,,
A_gercek,15,T1,4.0,0.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,15,T1,4.0,10.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,15,T1,4.0,20.0,1.0,1.0,1e-06,5.0,0.2,,,,
A_gercek,15,T1,6.0,0.0,0.75,0.7416666666666667,1e-06,7.0,0.14285714285714285,,,,
A_gercek,15,T1,6.0,10.0,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_gercek,15,T1,6.0,20.0,1.0,1.0,1e-06,7.0,0.14285714285714285,,,,
A_gercek,15,T1,8.0,0.0,0.6,0.49166666666666664,1e-06,9.0,0.1111111111111111,,,,
A_gercek,15,T1,8.0,10.0,0.7166666666666667,0.7083333333333334,1e-06,9.0,0.1111111111111111,,,,
A_gercek,15,T1,8.0,20.0,0.75,0.7083333333333334,1e-06,9.0,0.1111111111111111,,,,
A_gercek,15,T1,10.0,0.0,0.2,0.35,0.01,9.0,0.1111111111111111,,,,
A_gercek,15,diag,10.0,0.0,,,,,,0.33406122127793514,0.48152002154163603,0.6801227573182247,1.4348311607855901
A_gercek,15,T1,10.0,10.0,0.225,0.30833333333333335,0.1,9.0,0.1111111111111111,,,,
A_gercek,15,T1,10.0,20.0,0.20833333333333334,0.30833333333333335,0.0001,9.0,0.1111111111111111,,,,
A_gercek,15,T2,,,1.485831365301763,,0.001,,,,,,
A_gercek,15,T2_lag,1.0,,0.5261657998478162,,,,,,,,
A_gercek,15,T2_lag,2.0,,0.2713286671559746,,,,,,,,
A_gercek,15,T2_lag,3.0,,0.1714030065484363,,,,,,,,
A_gercek,15,T2_lag,4.0,,0.12134702180655423,,,,,,,,
A_gercek,15,T2_lag,5.0,,0.0810666365020214,,,,,,,,
A_gercek,15,T2_lag,6.0,,0.04056248662858041,,,,,,,,
A_gercek,15,T2_lag,7.0,,0.04946436902665872,,,,,,,,
A_gercek,15,T2_lag,8.0,,0.026763526682076787,,,,,,,,
A_gercek,15,T2_lag,9.0,,0.034399274711924194,,,,,,,,
A_gercek,15,T2_lag,10.0,,0.024439258827328468,,,,,,,,
A_gercek,15,T2_lag,11.0,,0.010273890994443858,,,,,,,,
A_gercek,15,T2_lag,12.0,,0.00958839044919312,,,,,,,,
A_gercek,15,T2_lag,13.0,,0.0139199004732948,,,,,,,,
A_gercek,15,T2_lag,14.0,,0.010673619291660124,,,,,,,,
A_gercek,15,T2_lag,15.0,,0.018793137891558433,,,,,,,,
A_gercek,15,T2_lag,16.0,,0.011109124216152406,,,,,,,,
A_gercek,15,T2_lag,17.0,,0.007327284309670922,,,,,,,,
A_gercek,15,T2_lag,18.0,,0.006524275059057761,,,,,,,,
A_gercek,15,T2_lag,19.0,,0.003282581545842736,,,,,,,,
A_gercek,15,T2_lag,20.0,,0.00992437621223336,,,,,,,,
A_gercek,15,T2_lag,21.0,,8.194451466586975e-05,,,,,,,,
A_gercek,15,T2_lag,22.0,,0.009938428774900202,,,,,,,,
A_gercek,15,T2_lag,23.0,,0.00128037452973257,,,,,,,,
A_gercek,15,T2_lag,24.0,,0.0016766737526715974,,,,,,,,
A_gercek,15,T2_lag,25.0,,0.0005803165123059979,,,,,,,,
A_gercek,15,T2_lag,26.0,,4.973870656133671e-06,,,,,,,,
A_gercek,15,T2_lag,27.0,,0.0006673895364132679,,,,,,,,
A_gercek,15,T2_lag,28.0,,0.0001381009413268034,,,,,,,,
A_gercek,15,T2_lag,29.0,,0.0006320986662379396,,,,,,,,
A_gercek,15,T2_lag,30.0,,0.006833359655243776,,,,,,,,
A_gercek,15,T2_lag,31.0,,0.0007263932079546586,,,,,,,,
A_gercek,15,T2_lag,32.0,,8.401607456352865e-05,,,,,,,,
A_gercek,15,T2_lag,33.0,,0.002011963598530698,,,,,,,,
A_gercek,15,T2_lag,34.0,,0.0005269471930550551,,,,,,,,
A_gercek,15,T2_lag,35.0,,0.005775396901248757,,,,,,,,
A_gercek,15,T2_lag,36.0,,4.1725676803054475e-05,,,,,,,,
A_gercek,15,T2_lag,37.0,,0.003181884061505805,,,,,,,,
A_gercek,15,T2_lag,38.0,,0.0007614558219673015,,,,,,,,
A_gercek,15,T2_lag,39.0,,0.00025878527125466455,,,,,,,,
A_gercek,15,T2_lag,40.0,,0.0022725085602462248,,,,,,,,
