arm,seed,task,k,H,acc,val,lam,reachable,chance,sat,activity,active_frac,participation_ratio
A_w0,7,T1,2.0,0.0,0.49166666666666664,0.49166666666666664,1e-06,3.0,0.3333333333333333,,,,
A_w0,7,T1,2.0,10.0,0.48333333333333334,0.525,1e-06,3.0,0.3333333333333333,,,,
A_w0,7,T1,2.0,20.0,0.5166666666666667,0.525,1e-05,3.0,0.3333333333333333,,,,
A_w0,7,T1,4.0,0.0,0.3416666666666667,0.35,1e-06,5.0,0.2,,,,
A_w0,7,T1,4.0,10.0,0.4083333333333333,0.425,1e-06,5.0,0.2,,,,
A_w0,7,T1,4.0,20.0,0.39166666666666666,0.3416666666666667,1e-06,5.0,0.2,,,,
A_w0,7,T1,6.0,0.0,0.3,0.2916666666666667,1e-06,7.0,0.14285714285714285,,,,
A_w0,7,T1,6.0,10.0,0.3,0.275,1e-05,7.0,0.14285714285714285,,,,
A_w0,7,T1,6.0,20.0,0.2916666666666667,0.275,0.0001,7.0,0.14285714285714285,,,,
A_w0,7,T1,8.0,0.0,0.25,0.23333333333333334,1e-05,9.0,0.1111111111111111,,,,
A_w0,7,T1,8.0,10.0,0.20833333333333334,0.25833333333333336,1e-06,9.0,0.1111111111111111,,,,
A_w0,7,T1,8.0,20.0,0.24166666666666667,0.21666666666666667,0.0001,9.0,0.1111111111111111,,,,
A_w0,7,T1,10.0,0.0,0.3333333333333333,0.2833333333333333,0.01,9.0,0.1111111111111111,,,,
A_w0,7,diag,10.0,0.0,,,,,,0.0,0.0028152984084803636,0.023607176581680833,1.0000000000000047
A_w0,7,T1,10.0,10.0,0.3333333333333333,0.2833333333333333,0.001,9.0,0.1111111111111111,,,,
A_w0,7,T1,10.0,20.0,0.2916666666666667,0.3,1e-05,9.0,0.1111111111111111,,,,
A_w0,7,T2,,,0.23263937152584688,,0.001,,,,,,
A_w0,7,T2_lag,1.0,,0.14764072701029873,,,,,,,,
A_w0,7,T2_lag,2.0,,0.026860875452192432,,,,,,,,
A_w0,7,T2_lag,3.0,,0.005919971602786187,,,,,,,,
A_w0,7,T2_lag,4.0,,6.240280347696485e-07,,,,,,,,
A_w0,7,T2_lag,5.0,,0.0017144656699572187,,,,,,,,
A_w0,7,T2_lag,6.0,,2.455426722649404e-06,,,,,,,,
A_w0,7,T2_lag,7.0,,0.004287100390166765,,,,,,,,
A_w0,7,T2_lag,8.0,,0.0009083505164867512,,,,,,,,
A_w0,7,T2_lag,9.0,,0.0006711465474797726,,,,,,,,
A_w0,7,T2_lag,10.0,,5.671081824799954e-05,,,,,,,,
A_w0,7,T2_lag,11.0,,0.007334986513481099,,,,,,,,
A_w0,7,T2_lag,12.0,,0.002243681855441783,,,,,,,,
A_w0,7,T2_lag,13.0,,0.0004115452192251675,,,,,,,,
A_w0,7,T2_lag,14.0,,0.001039928754129206,,,,,,,,
A_w0,7,T2_lag,15.0,,0.001849342270667678,,,,,,,,
A_w0,7,T2_lag,16.0,,4.3923686402975744e-05,,,,,,,,
A_w0,7,T2_lag,17.0,,0.0002914461494393495,,,,,,,,
A_w0,7,T2_lag,18.0,,0.0018727178302412066,,,,,,,,
A_w0,7,T2_lag,19.0,,0.00047817902387114797,,,,,,,,
A_w0,7,T2_lag,20.0,,0.001214702903180551,,,,,,,,
A_w0,7,T2_lag,21.0,,0.00015671111748649587,,,,,,,,
A_w0,7,T2_lag,22.0,,6.563848863609514e-05,,,,,,,,
A_w0,7,T2_lag,23.0,,0.00017620280906900976,,,,,,,,
A_w0,7,T2_lag,24.0,,0.006387246657659771,,,,,,,,
A_w0,7,T2_lag,25.0,,0.0030882582214002323,,,,,,,,
A_w0,7,T2_lag,26.0,,0.00038872198159716945,,,,,,,,
A_w0,7,T2_lag,27.0,,0.006536147154460817,,,,,,,,
A_w0,7,T2_lag,28.0,,5.503894208550153e-05,,,,,,,,
A_w0,7,T2_lag,29.0,,0.0016972767872654958,,,,,,,,
A_w0,7,T2_lag,30.0,,0.0004109558263628271,,,,,,,,
A_w0,7,T2_lag,31.0,,0.0008246571753400592,,,,,,,,
A_w0,7,T2_lag,32.0,,6.309393520532669e-05,,,,,,,,
A_w0,7,T2_lag,33.0,,0.00032538364555248847,,,,,,,,
A_w0,7,T2_lag,34.0,,0.002162975941199027,,,,,,,,
A_w0,7,T2_lag,35.0,,0.0008212971812091363,,,,,,,,
A_w0,7,T2_lag,36.0,,0.001434867715806363,,,,,,,,
A_w0,7,T2_lag,37.0,,0.00012236466816654544,,,,,,,,
A_w0,7,T2_lag,38.0,,2.9140146491085872e-05,,,,,,,,
A_w0,7,T2_lag,39.0,,0.00014447285204263692,,,,,,,,
A_w0,7,T2_lag,40.0,,0.0029060386103573676,,,,,,,,
