arm,g,amp,crit_k,crit_h,val_acc,n,tie_rung,crit_mse
A_gercek,0.8,0.5,6.0,10.0,0.4025,10.0,,
A_gercek,0.8,1.0,6.0,10.0,0.40166666666666667,10.0,,
A_gercek,1.3,0.5,6.0,10.0,0.47333333333333333,10.0,,
A_gercek,1.3,1.0,6.0,10.0,0.4708333333333333,10.0,,
A_gercek,2.0,0.5,6.0,10.0,0.5341666666666667,10.0,,
A_gercek,2.0,1.0,6.0,10.0,0.58,10.0,,
A_gercek,3.0,0.5,6.0,10.0,0.7350000000000001,10.0,,
A_gercek,3.0,1.0,6.0,10.0,0.8133333333333332,10.0,,
A_gercek,5.0,0.5,6.0,10.0,0.7333333333333333,10.0,,
A_gercek,5.0,1.0,6.0,10.0,0.8558333333333333,10.0,,
A_gercek,8.0,0.5,6.0,10.0,0.8016666666666667,10.0,,
A_gercek,8.0,1.0,6.0,10.0,0.8741666666666668,10.0,,
A_gercek,13.0,0.5,6.0,10.0,0.74,10.0,,
A_gercek,13.0,1.0,6.0,10.0,0.8783333333333333,10.0,,
A_gercek,20.0,0.5,6.0,10.0,0.8150000000000001,10.0,,
A_gercek,20.0,1.0,6.0,10.0,0.9166666666666667,10.0,,
A_gercek,40.0,0.5,6.0,10.0,0.9791666666666666,10.0,,
A_gercek,40.0,1.0,6.0,10.0,0.9891666666666667,10.0,,
A_derece,0.8,0.5,6.0,10.0,0.6141666666666667,10.0,,
A_derece,0.8,1.0,6.0,10.0,0.6383333333333333,10.0,,
A_derece,1.3,0.5,6.0,10.0,0.8275,10.0,,
A_derece,1.3,1.0,6.0,10.0,0.9216666666666666,10.0,,
A_derece,2.0,0.5,6.0,10.0,0.8241666666666667,10.0,,
A_derece,2.0,1.0,6.0,10.0,0.9283333333333333,10.0,,
A_derece,3.0,0.5,6.0,10.0,0.9291666666666668,10.0,,
A_derece,3.0,1.0,6.0,10.0,0.9833333333333334,10.0,,
A_derece,5.0,0.5,6.0,10.0,0.9775,10.0,,
A_derece,5.0,1.0,6.0,10.0,0.9833333333333334,10.0,,
A_derece,8.0,0.5,6.0,10.0,1.0,10.0,,
A_derece,8.0,1.0,6.0,10.0,1.0,10.0,,
A_derece,13.0,0.5,6.0,10.0,1.0,10.0,,
A_derece,13.0,1.0,6.0,10.0,1.0,10.0,,
A_derece,20.0,0.5,6.0,10.0,1.0,10.0,,
A_derece,20.0,1.0,6.0,10.0,1.0,10.0,,
A_derece,40.0,0.5,6.0,10.0,1.0,10.0,,
A_derece,40.0,1.0,6.0,10.0,1.0,10.0,,
A_derece,8.0,0.5,4.0,10.0,1.0,,2.0,
A_derece,8.0,1.0,4.0,10.0,1.0,,2.0,
A_derece,13.0,0.5,4.0,10.0,1.0,,2.0,
A_derece,13.0,1.0,4.0,10.0,1.0,,2.0,
A_derece,20.0,0.5,4.0,10.0,1.0,,2.0,
A_derece,20.0,1.0,4.0,10.0,1.0,,2.0,
A_derece,40.0,0.5,4.0,10.0,1.0,,2.0,
A_derece,40.0,1.0,4.0,10.0,1.0,,2.0,
A_derece,8.0,0.5,,,,,3.0,9.159765971127984e-05
A_derece,8.0,1.0,,,,,3.0,5.696770888564866e-05
A_derece,13.0,0.5,,,,,3.0,6.28864829366917e-05
A_derece,13.0,1.0,,,,,3.0,3.620430051038603e-05
A_derece,20.0,0.5,,,,,3.0,6.881456678098839e-05
A_derece,20.0,1.0,,,,,3.0,1.1572697015688819e-05
A_derece,40.0,0.5,,,,,3.0,2.339086019137831e-05
A_derece,40.0,1.0,,,,,3.0,1.9018544588559347e-05
A_er,0.8,0.5,6.0,10.0,0.54,10.0,,
A_er,0.8,1.0,6.0,10.0,0.5275000000000001,10.0,,
A_er,1.3,0.5,6.0,10.0,0.5800000000000001,10.0,,
A_er,1.3,1.0,6.0,10.0,0.5741666666666667,10.0,,
A_er,2.0,0.5,6.0,10.0,0.41583333333333333,10.0,,
A_er,2.0,1.0,6.0,10.0,0.4333333333333334,10.0,,
A_er,3.0,0.5,6.0,10.0,0.4658333333333333,10.0,,
A_er,3.0,1.0,6.0,10.0,0.49750000000000005,10.0,,
A_er,5.0,0.5,6.0,10.0,0.4783333333333332,10.0,,
A_er,5.0,1.0,6.0,10.0,0.5175,10.0,,
A_er,8.0,0.5,6.0,10.0,0.5650000000000001,10.0,,
A_er,8.0,1.0,6.0,10.0,0.6366666666666667,10.0,,
A_er,13.0,0.5,6.0,10.0,0.6158333333333333,10.0,,
A_er,13.0,1.0,6.0,10.0,0.7308333333333332,10.0,,
A_er,20.0,0.5,6.0,10.0,0.6900000000000001,10.0,,
A_er,20.0,1.0,6.0,10.0,0.77,10.0,,
A_er,40.0,0.5,6.0,10.0,0.6408333333333334,10.0,,
A_er,40.0,1.0,6.0,10.0,0.7291666666666667,10.0,,
A_w0,0.8,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,0.8,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,1.3,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,1.3,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,2.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,2.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,3.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,3.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,5.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,5.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,8.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,8.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,13.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,13.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,20.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,20.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,40.0,0.5,6.0,10.0,0.32416666666666666,10.0,,
A_w0,40.0,1.0,6.0,10.0,0.32416666666666666,10.0,,
A_w0,0.8,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,0.8,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,1.3,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,1.3,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,2.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,2.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,3.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,3.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,5.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,5.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,8.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,8.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,13.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,13.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,20.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,20.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,40.0,0.5,4.0,10.0,0.38833333333333336,,2.0,
A_w0,40.0,1.0,4.0,10.0,0.38833333333333336,,2.0,
A_w0,0.8,0.5,,,,,3.0,5.030294194575411
A_w0,0.8,1.0,,,,,3.0,5.030294194204106
A_w0,1.3,0.5,,,,,3.0,5.030294194575411
A_w0,1.3,1.0,,,,,3.0,5.030294194204106
A_w0,2.0,0.5,,,,,3.0,5.030294194575411
A_w0,2.0,1.0,,,,,3.0,5.030294194204106
A_w0,3.0,0.5,,,,,3.0,5.030294194575411
A_w0,3.0,1.0,,,,,3.0,5.030294194204106
A_w0,5.0,0.5,,,,,3.0,5.030294194575411
A_w0,5.0,1.0,,,,,3.0,5.030294194204106
A_w0,8.0,0.5,,,,,3.0,5.030294194575411
A_w0,8.0,1.0,,,,,3.0,5.030294194204106
A_w0,13.0,0.5,,,,,3.0,5.030294194575411
A_w0,13.0,1.0,,,,,3.0,5.030294194204106
A_w0,20.0,0.5,,,,,3.0,5.030294194575411
A_w0,20.0,1.0,,,,,3.0,5.030294194204106
A_w0,40.0,0.5,,,,,3.0,5.030294194575411
A_w0,40.0,1.0,,,,,3.0,5.030294194204106
