arm,seed,split,H,train_H,target_s,n,acc_exact,acc_within2,acc_nominal,pred_mean,pred_slope,stuck,pca_res,sat,active,lam,lam_nom,val_mse,val_acc_nom
A_gercek,9,S1,0,0,ALL,240,0.3958333333333333,0.9291666666666667,0.0,-0.12091858881661798,0.7910063192232111,0.075,0.1385957921373432,0.18175657066414858,0.6848441926345609,0.0001,0.0001,1.0012714588874674,0.5866666666666667
A_gercek,9,S1,0,0,-6,60,0.48333333333333334,0.95,0.0,-4.92962615069727,,0.016666666666666666,0.13246150895984465,0.18175657066414858,0.6848441926345609,0.0001,0.0001,1.0012714588874674,0.5866666666666667
A_gercek,9,S1,0,0,-4,60,0.5166666666666667,0.9666666666666667,0.0,-3.263060364480032,,0.1,0.12319546217952675,0.18175657066414858,0.6848441926345609,0.0001,0.0001,1.0012714588874674,0.5866666666666667
A_gercek,9,S1,0,0,4,60,0.36666666666666664,0.9166666666666666,0.0,3.309707061177369,,0.13333333333333333,0.14688744571478543,0.18175657066414858,0.6848441926345609,0.0001,0.0001,1.0012714588874674,0.5866666666666667
A_gercek,9,S1,0,0,6,60,0.21666666666666667,0.8833333333333333,0.0,4.3993050987334605,,0.05,0.1518387516952159,0.18175657066414858,0.6848441926345609,0.0001,0.0001,1.0012714588874674,0.5866666666666667
A_gercek,9,S1,10,10,ALL,240,0.0,0.16666666666666666,0.0,-0.10657685251563564,0.15829803321882407,1.0,0.17805277834258135,0.23410745199874095,0.6805949008498584,0.1,1e-05,2.505188520344285,0.4533333333333333
A_gercek,9,S1,10,10,-6,60,0.0,0.0,0.0,-1.1126953784946332,,1.0,0.1724298450461243,0.23410745199874095,0.6805949008498584,0.1,1e-05,2.505188520344285,0.4533333333333333
A_gercek,9,S1,10,10,-4,60,0.0,0.4666666666666667,0.0,-0.6882582699698184,,1.0,0.14444308718859286,0.23410745199874095,0.6805949008498584,0.1,1e-05,2.505188520344285,0.4533333333333333
A_gercek,9,S1,10,10,4,60,0.0,0.2,0.0,0.6070436632504083,,1.0,0.19243078821281745,0.23410745199874095,0.6805949008498584,0.1,1e-05,2.505188520344285,0.4533333333333333
A_gercek,9,S1,10,10,6,60,0.0,0.0,0.0,0.7676025751515007,,1.0,0.20290739292279072,0.23410745199874095,0.6805949008498584,0.1,1e-05,2.505188520344285,0.4533333333333333
A_gercek,9,S1,20,20,ALL,240,0.0,0.075,0.0,-0.16951419134016504,0.11222298084860348,1.0,0.2306361034091088,0.26348658325464275,0.6843720491029273,1.0,1.0,2.4811865301112097,0.42
A_gercek,9,S1,20,20,-6,60,0.0,0.0,0.0,-0.8805242942977551,,1.0,0.25363498663445605,0.26348658325464275,0.6843720491029273,1.0,1.0,2.4811865301112097,0.42
A_gercek,9,S1,20,20,-4,60,0.0,0.3,0.0,-0.5728018298690393,,1.0,0.2191172121723014,0.26348658325464275,0.6843720491029273,1.0,1.0,2.4811865301112097,0.42
A_gercek,9,S1,20,20,4,60,0.0,0.0,0.0,0.2773896149223635,,1.0,0.2259070659582469,0.26348658325464275,0.6843720491029273,1.0,1.0,2.4811865301112097,0.42
A_gercek,9,S1,20,20,6,60,0.0,0.0,0.0,0.49787974388377054,,1.0,0.223885148871431,0.26348658325464275,0.6843720491029273,1.0,1.0,2.4811865301112097,0.42
A_gercek,9,H_xfer,0,10,ALL,240,0.0,0.09583333333333334,0.0,-0.539878341126405,0.0639980402143489,1.0,0.5003260170856982,0.18175657066414858,0.6848441926345609,0.1,1e-06,2.5053167259366584,0.44666666666666666
A_gercek,9,H_xfer,0,10,-6,60,0.0,0.0,0.0,-0.9330019777678695,,1.0,0.44079112532729525,0.18175657066414858,0.6848441926345609,0.1,1e-06,2.5053167259366584,0.44666666666666666
A_gercek,9,H_xfer,0,10,-4,60,0.0,0.38333333333333336,0.0,-0.7884036718299592,,1.0,0.4631534858790395,0.18175657066414858,0.6848441926345609,0.1,1e-06,2.5053167259366584,0.44666666666666666
A_gercek,9,H_xfer,0,10,4,60,0.0,0.0,0.0,-0.2664079589059901,,1.0,0.5244408919784269,0.18175657066414858,0.6848441926345609,0.1,1e-06,2.5053167259366584,0.44666666666666666
A_gercek,9,H_xfer,0,10,6,60,0.0,0.0,0.0,-0.17169975600180107,,1.0,0.5729185651580315,0.18175657066414858,0.6848441926345609,0.1,1e-06,2.5053167259366584,0.44666666666666666
A_gercek,9,H_xfer,20,10,ALL,240,0.0,0.08333333333333333,0.0,-0.2092699054994353,0.08535713810816371,1.0,0.4817699809087416,0.26348658325464275,0.6843720491029273,0.1,1e-06,2.505263932756946,0.4533333333333333
A_gercek,9,H_xfer,20,10,-6,60,0.0,0.0,0.0,-0.738341178054597,,1.0,0.5062755019026794,0.26348658325464275,0.6843720491029273,0.1,1e-06,2.505263932756946,0.4533333333333333
A_gercek,9,H_xfer,20,10,-4,60,0.0,0.31666666666666665,0.0,-0.5348629432148199,,1.0,0.47895738067395865,0.26348658325464275,0.6843720491029273,0.1,1e-06,2.505263932756946,0.4533333333333333
A_gercek,9,H_xfer,20,10,4,60,0.0,0.016666666666666666,0.0,0.15455173678394168,,1.0,0.46562022976774037,0.26348658325464275,0.6843720491029273,0.1,1e-06,2.505263932756946,0.4533333333333333
A_gercek,9,H_xfer,20,10,6,60,0.0,0.0,0.0,0.28157276248773383,,1.0,0.4762268112905882,0.26348658325464275,0.6843720491029273,0.1,1e-06,2.505263932756946,0.4533333333333333
