split,subset,chance,majority,arm,mean,sd,ci95,n,stuck,pca_res,sat,active,pred_mean,within2,nom
S1,ALL,0.25,0.25,A_derece,0.0010416666666666651,0.004658474953124555,0.0020416666666666634,20,0.9679166666666668,0.5801916125247926,0.6333805476864968,0.9761331444759207,0.014364093410798251,0.19812499999999994,0.0
S1,ALL,0.25,0.25,A_er,0.10791666666666663,0.15387240765081084,0.06743755602027926,20,0.42729166666666674,0.09993661667094884,0.952628364022663,0.9997639282341835,0.029584796357761324,0.5918750000000002,0.0
S1,ALL,0.25,0.25,A_gercek,0.023541666666666655,0.04963821965861781,0.021754908953992222,20,0.7991666666666667,0.1670097994842354,0.2657681185080264,0.6798512747875354,0.10870979790759103,0.26437499999999997,0.0
S1,ALL,0.25,0.25,A_w0,0.0,0.0,0.0,20,1.0,1.1454627028589319e-15,0.0,0.0,-0.006386370171927905,0.0,0.0
S1,far,0.5,0.5,A_derece,0.0,0.0,0.0,40,0.96125,0.5945659948324151,0.6333805476864967,0.9761331444759207,0.027326266402570742,0.000416666666666665,0.0
S1,far,0.5,0.5,A_er,0.06499999999999997,0.1817452586213435,0.056323439175620306,40,0.30041666666666667,0.10634916258376792,0.9526283640226628,0.9997639282341833,0.03928081136791643,0.38458333333333333,0.0
S1,far,0.5,0.5,A_gercek,0.0024999999999999953,0.008050764858994119,0.002494957878364842,40,0.7604166666666666,0.1712062940535513,0.2657681185080264,0.6798512747875354,0.1500634784457008,0.11708333333333332,0.0
S1,far,0.5,0.5,A_w0,0.0,0.0,0.0,40,1.0,1.1444502995756049e-15,0.0,0.0,-0.0059752340373295295,0.0,0.0
S2,far,0.5,0.5,A_derece,0.005416666666666656,0.011870093630928827,0.005202297906576655,20,0.9158333333333333,0.5477225013903662,0.6326304296506138,0.9755783758262513,-0.0807411454998343,0.4312499999999999,0.0
S2,far,0.5,0.5,A_er,0.23041666666666663,0.1864424365957029,0.08171200057526248,20,0.3745833333333333,0.08930110719145709,0.9526619058860559,0.9997639282341835,-0.061029329321536374,0.8979166666666668,0.0
S2,far,0.5,0.5,A_gercek,0.1283333333333333,0.1452563775008807,0.06366141431443868,20,0.6533333333333333,0.1582751778687928,0.26605347025495746,0.6786827195467422,0.03353372657320203,0.60125,0.0
S2,far,0.5,0.5,A_w0,0.0,0.0,0.0,20,1.0,1.3601521205158735e-15,0.0,0.0,-0.015487845341383047,0.0,0.0
