arm,seed,task,cond,value
MB_ALPNKC_shuffle,14,T1,N2_s0.1,1.0
MB_ALPNKC_shuffle,14,T1,N2_s0.3,1.0
MB_ALPNKC_shuffle,14,T1,N2_s0.6,1.0
MB_ALPNKC_shuffle,14,T1,N4_s0.1,1.0
MB_ALPNKC_shuffle,14,T1,N4_s0.3,0.9583333333333334
MB_ALPNKC_shuffle,14,T1,N4_s0.6,1.0
MB_ALPNKC_shuffle,14,T1,N8_s0.1,1.0
MB_ALPNKC_shuffle,14,T1,N8_s0.3,1.0
MB_ALPNKC_shuffle,14,T1,N8_s0.6,1.0
MB_ALPNKC_shuffle,14,T1,N16_s0.1,1.0
MB_ALPNKC_shuffle,14,T1,N16_s0.3,0.9791666666666666
MB_ALPNKC_shuffle,14,T1,N16_s0.6,0.9270833333333334
MB_ALPNKC_shuffle,14,T2,d0.1,1.0
MB_ALPNKC_shuffle,14,T2,d0.3,0.875
MB_ALPNKC_shuffle,14,T2,d0.5,0.8333333333333334
MB_ALPNKC_shuffle,14,T3,ntr1,1.0
MB_ALPNKC_shuffle,14,T3,ntr2,1.0
MB_ALPNKC_shuffle,14,T3,ntr3,1.0
MB_ALPNKC_shuffle,14,T3,ntr5,1.0
MB_ALPNKC_shuffle,14,T3,ntr8,1.0
MB_ALPNKC_shuffle,14,T3,ntr12,1.0
MB_ALPNKC_shuffle,14,T3,ntr20,1.0
MB_ALPNKC_shuffle,14,T4,nA4_after,1.0
MB_ALPNKC_shuffle,14,T4,nA4_B,1.0
MB_ALPNKC_shuffle,14,T4,nA8_after,1.0
MB_ALPNKC_shuffle,14,T4,nA8_B,0.875
MB_ALPNKC_shuffle,14,T4,nA16_after,0.8854166666666666
MB_ALPNKC_shuffle,14,T4,nA16_B,0.875
MB_ALPNKC_shuffle,14,T4,nA32_after,0.7864583333333334
MB_ALPNKC_shuffle,14,T4,nA32_B,0.7708333333333334
MB_ALPNKC_shuffle,14,T4,nA64_after,0.5390625
MB_ALPNKC_shuffle,14,T4,nA64_B,0.75
MB_ALPNKC_shuffle,14,T5,cos0.9,0.8333333333333334
MB_ALPNKC_shuffle,14,T5,cos0.7,0.75
MB_ALPNKC_shuffle,14,T5,cos0.5,0.7916666666666666
MB_ALPNKC_shuffle,14,T6a,A+B+AB-,0.6666666666666666
MB_ALPNKC_shuffle,14,T6b,once,1.0
MB_ALPNKC_shuffle,14,T6b,sonra,0.0
