task,cond,test,diff,p_raw,n,p_holm
T1,N4_s0.1,MB_gercek vs MB_KCMBON_shuffle,-0.027083333333333348,0.1638592860041742,20,1.0
T1,N4_s0.1,MB_gercek vs MB_ALPNKC_shuffle,-0.027083333333333348,0.1638592860041742,20,1.0
T1,N4_s0.1,MB_gercek vs MB_ER,-0.027083333333333348,0.1638592860041742,20,1.0
T1,N4_s0.1,MB_gercek vs MB_rastgele_bolme,0.0,1.0,20,1.0
T1,N4_s0.1,MB_gercek vs plastisitesiz,0.5083333333333333,1.6237871761849773e-12,20,2.435680764277466e-11
T2,d0.1,MB_gercek vs MB_KCMBON_shuffle,-0.03333333333333355,0.04332686864923148,20,0.4765955551415463
T2,d0.1,MB_gercek vs MB_ALPNKC_shuffle,-0.029166666666666896,0.08057453686600542,20,0.762348494371527
T2,d0.1,MB_gercek vs MB_ER,-0.04166666666666674,0.01108860817017815,20,0.1330632980421378
T2,d0.1,MB_gercek vs MB_rastgele_bolme,-0.029166666666666785,0.0762348494371527,20,0.762348494371527
T2,d0.1,MB_gercek vs plastisitesiz,0.5041666666666667,2.8394060525312713e-12,20,3.97516847354378e-11
T6a,A+B+AB-,MB_gercek vs MB_KCMBON_shuffle,0.01388888888888884,0.6482425756212901,20,1.0
T6a,A+B+AB-,MB_gercek vs MB_ALPNKC_shuffle,-0.03055555555555567,0.273266805757613,20,1.0
T6a,A+B+AB-,MB_gercek vs MB_ER,-0.036111111111111205,0.15890360362040096,20,1.0
T6a,A+B+AB-,MB_gercek vs MB_rastgele_bolme,-0.005555555555555647,0.8212350049302423,20,1.0
T6a,A+B+AB-,MB_gercek vs plastisitesiz,0.2999999999999998,3.5722543265564e-08,20,4.64393062452332e-07
