task,cond,arm,mean,sd,ci95,n
T1,N16_s0.1,MB_ALPNKC_shuffle,0.9770833333333334,0.038769920365486946,0.016991666774218532,20
T1,N16_s0.1,MB_ER,1.0,0.0,0.0,20
T1,N16_s0.1,MB_KCMBON_shuffle,0.9729166666666668,0.03692913436451335,0.01618490673869797,20
T1,N16_s0.1,MB_gercek,0.9479166666666667,0.049207907176133506,0.02156631619336151,20
T1,N16_s0.1,MB_rastgele_bolme,0.9307291666666668,0.1393562813591112,0.06107558316926965,20
T1,N16_s0.1,delta_okuma,1.0,0.0,0.0,20
T1,N16_s0.1,plastisitesiz,0.4604166666666667,0.10839025157931363,0.047504122243411245,20
T1,N16_s0.3,MB_ALPNKC_shuffle,0.9473958333333334,0.0490306017567165,0.021488608667124785,20
T1,N16_s0.3,MB_ER,1.0,0.0,0.0,20
T1,N16_s0.3,MB_KCMBON_shuffle,0.9499999999999998,0.03554221812163456,0.015577063895055553,20
T1,N16_s0.3,MB_gercek,0.9447916666666666,0.04696324539603982,0.020582549793311616,20
T1,N16_s0.3,MB_rastgele_bolme,0.8911458333333334,0.14557758746782837,0.06380219078938319,20
T1,N16_s0.3,delta_okuma,1.0,0.0,0.0,20
T1,N16_s0.3,plastisitesiz,0.4901041666666666,0.07943708144579412,0.03481483595320865,20
T1,N16_s0.6,MB_ALPNKC_shuffle,0.8906250000000002,0.06372161390727142,0.027927228625200355,20
T1,N16_s0.6,MB_ER,1.0,0.0,0.0,20
T1,N16_s0.6,MB_KCMBON_shuffle,0.8640624999999998,0.06263463204049301,0.02745083781769283,20
T1,N16_s0.6,MB_gercek,0.846875,0.051042226097900927,0.02237024190645278,20
T1,N16_s0.6,MB_rastgele_bolme,0.8072916666666666,0.14256599861814281,0.06248230378130045,20
T1,N16_s0.6,delta_okuma,1.0,0.0,0.0,20
T1,N16_s0.6,plastisitesiz,0.4859375000000001,0.04278581973754897,0.01875171227561749,20
T1,N2_s0.1,MB_ALPNKC_shuffle,1.0,0.0,0.0,20
T1,N2_s0.1,MB_ER,1.0,0.0,0.0,20
T1,N2_s0.1,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T1,N2_s0.1,MB_gercek,0.975,0.11180339887498951,0.049,20
T1,N2_s0.1,MB_rastgele_bolme,1.0,0.0,0.0,20
T1,N2_s0.1,delta_okuma,1.0,0.0,0.0,20
T1,N2_s0.1,plastisitesiz,0.4666666666666667,0.2681973612126031,0.11754267608725942,20
T1,N2_s0.3,MB_ALPNKC_shuffle,1.0,0.0,0.0,20
T1,N2_s0.3,MB_ER,1.0,0.0,0.0,20
T1,N2_s0.3,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T1,N2_s0.3,MB_gercek,0.9583333333333333,0.11629011915406011,0.05096639186184563,20
T1,N2_s0.3,MB_rastgele_bolme,0.9916666666666666,0.025649458802128863,0.011241370959657531,20
T1,N2_s0.3,delta_okuma,1.0,0.0,0.0,20
T1,N2_s0.3,plastisitesiz,0.5416666666666667,0.21544866825991466,0.0944245421066302,20
T1,N2_s0.6,MB_ALPNKC_shuffle,0.9916666666666668,0.03726779962499648,0.016333333333333325,20
T1,N2_s0.6,MB_ER,1.0,0.0,0.0,20
T1,N2_s0.6,MB_KCMBON_shuffle,0.9958333333333332,0.018633899812498255,0.00816666666666667,20
T1,N2_s0.6,MB_gercek,0.9916666666666666,0.03726779962499649,0.016333333333333328,20
T1,N2_s0.6,MB_rastgele_bolme,0.9916666666666666,0.03726779962499649,0.016333333333333328,20
T1,N2_s0.6,delta_okuma,1.0,0.0,0.0,20
T1,N2_s0.6,plastisitesiz,0.4916666666666666,0.1729094006082765,0.07578088604693455,20
T1,N4_s0.1,MB_ALPNKC_shuffle,1.0,0.0,0.0,20
T1,N4_s0.1,MB_ER,1.0,0.0,0.0,20
T1,N4_s0.1,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T1,N4_s0.1,MB_gercek,0.9729166666666667,0.08363432484570947,0.03665435897903197,20
T1,N4_s0.1,MB_rastgele_bolme,0.9729166666666667,0.08363432484570948,0.03665435897903197,20
T1,N4_s0.1,delta_okuma,1.0,0.0,0.0,20
T1,N4_s0.1,plastisitesiz,0.4645833333333333,0.1695339975219999,0.07430155041946863,20
T1,N4_s0.3,MB_ALPNKC_shuffle,0.9833333333333334,0.05638993315657954,0.024713977861817102,20
T1,N4_s0.3,MB_ER,1.0,0.0,0.0,20
T1,N4_s0.3,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T1,N4_s0.3,MB_gercek,0.9729166666666668,0.07679979859561799,0.03365899578234656,20
T1,N4_s0.3,MB_rastgele_bolme,0.9729166666666668,0.07679979859561797,0.03365899578234656,20
T1,N4_s0.3,delta_okuma,1.0,0.0,0.0,20
T1,N4_s0.3,plastisitesiz,0.4624999999999999,0.14986592448464536,0.06568163735306937,20
T1,N4_s0.6,MB_ALPNKC_shuffle,0.9770833333333332,0.047747125690411,0.020926100479701174,20
T1,N4_s0.6,MB_ER,1.0,0.0,0.0,20
T1,N4_s0.6,MB_KCMBON_shuffle,0.9895833333333334,0.029847933308807452,0.013081433541809242,20
T1,N4_s0.6,MB_gercek,0.9562499999999998,0.07937415100618851,0.03478725547200948,20
T1,N4_s0.6,MB_rastgele_bolme,0.9749999999999999,0.06677622576550263,0.029265971298137215,20
T1,N4_s0.6,delta_okuma,1.0,0.0,0.0,20
T1,N4_s0.6,plastisitesiz,0.4375,0.17338435483896458,0.0759890439163544,20
T1,N8_s0.1,MB_ALPNKC_shuffle,0.9916666666666668,0.02899384891410247,0.01270711455185315,20
T1,N8_s0.1,MB_ER,1.0,0.0,0.0,20
T1,N8_s0.1,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T1,N8_s0.1,MB_gercek,0.9468750000000001,0.09474375837733053,0.04152328289840314,20
T1,N8_s0.1,MB_rastgele_bolme,0.9739583333333334,0.0914058790353346,0.04006039277696169,20
T1,N8_s0.1,delta_okuma,1.0,0.0,0.0,20
T1,N8_s0.1,plastisitesiz,0.4989583333333334,0.13305120233023252,0.05831226044810175,20
T1,N8_s0.3,MB_ALPNKC_shuffle,0.99375,0.023512003901951437,0.010304590046352726,20
T1,N8_s0.3,MB_ER,1.0,0.0,0.0,20
T1,N8_s0.3,MB_KCMBON_shuffle,0.9927083333333332,0.019443791760140203,0.00852161746274066,20
T1,N8_s0.3,MB_gercek,0.9489583333333333,0.07541157780640491,0.033050581196064625,20
T1,N8_s0.3,MB_rastgele_bolme,0.975,0.06326288787635402,0.02772618307791708,20
T1,N8_s0.3,delta_okuma,1.0,0.0,0.0,20
T1,N8_s0.3,plastisitesiz,0.4927083333333333,0.09323689997819458,0.04086287308706798,20
T1,N8_s0.6,MB_ALPNKC_shuffle,0.940625,0.0670067395362202,0.029366998412507773,20
T1,N8_s0.6,MB_ER,1.0,0.0,0.0,20
T1,N8_s0.6,MB_KCMBON_shuffle,0.9791666666666667,0.0337961294022422,0.014811806773079406,20
T1,N8_s0.6,MB_gercek,0.9322916666666667,0.06300055404471869,0.0276112102069715,20
T1,N8_s0.6,MB_rastgele_bolme,0.9541666666666666,0.0732994339510467,0.03212489333725209,20
T1,N8_s0.6,delta_okuma,1.0,0.0,0.0,20
T1,N8_s0.6,plastisitesiz,0.4854166666666666,0.09465329934040012,0.04148363747747505,20
T2,d0.1,MB_ALPNKC_shuffle,0.9875000000000002,0.027372778555491105,0.011996649142292815,20
T2,d0.1,MB_ER,1.0,0.0,0.0,20
T2,d0.1,MB_KCMBON_shuffle,0.9916666666666668,0.021797848490858203,0.009553328313804827,20
T2,d0.1,MB_gercek,0.9583333333333333,0.0662266178532522,0.02902509501019553,20
T2,d0.1,MB_rastgele_bolme,0.9875,0.0238016904407283,0.01043155076975558,20
T2,d0.1,delta_okuma,1.0,0.0,0.0,20
T2,d0.1,plastisitesiz,0.4541666666666666,0.16661183308509814,0.07302085538828908,20
T2,d0.3,MB_ALPNKC_shuffle,0.9354166666666666,0.0654982589831559,0.028705877660867674,20
T2,d0.3,MB_ER,1.0,0.0,0.0,20
T2,d0.3,MB_KCMBON_shuffle,0.9416666666666668,0.061057924755420545,0.02675981538236476,20
T2,d0.3,MB_gercek,0.9416666666666667,0.0625365390267985,0.027407846658932037,20
T2,d0.3,MB_rastgele_bolme,0.9458333333333332,0.05751302928912452,0.025206196444154092,20
T2,d0.3,delta_okuma,1.0,0.0,0.0,20
T2,d0.3,plastisitesiz,0.5458333333333332,0.16933176197640856,0.07421291678369647,20
T2,d0.5,MB_ALPNKC_shuffle,0.88125,0.08579159264415745,0.03759982327786016,20
T2,d0.5,MB_ER,1.0,0.0,0.0,20
T2,d0.5,MB_KCMBON_shuffle,0.8625,0.05424252448022957,0.023772834513761994,20
T2,d0.5,MB_gercek,0.8854166666666666,0.0809697709097018,0.035486566727828926,20
T2,d0.5,MB_rastgele_bolme,0.8854166666666666,0.118527608006106,0.05194701458757185,20
T2,d0.5,delta_okuma,0.9958333333333333,0.012824729401064414,0.005620685479828758,20
T2,d0.5,plastisitesiz,0.4729166666666667,0.17326573833817044,0.07593705794278474,20
T3,ntr1,MB_ALPNKC_shuffle,1.0,0.0,0.0,20
T3,ntr1,MB_ER,1.0,0.0,0.0,20
T3,ntr1,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T3,ntr1,MB_gercek,0.9625000000000001,0.08645470030413825,0.03789044302346727,20
T3,ntr1,MB_rastgele_bolme,0.9958333333333333,0.012824729401064414,0.005620685479828758,20
T3,ntr1,plastisitesiz,0.44375,0.14451155379860306,0.0633349809342477,20
T3,ntr12,MB_ALPNKC_shuffle,1.0,0.0,0.0,20
T3,ntr12,MB_ER,1.0,0.0,0.0,20
T3,ntr12,MB_KCMBON_shuffle,1.0,0.0,0.0,20
T3,ntr12,MB_gercek,0.9958333333333333,0.012824729401064414,0.005620685479828758,20
T3,ntr12,MB_rastgele_bolme,0.9979166666666668,0.009316949906249117,0.00408333333333333,20
T3,ntr12,plastisitesiz,0.4395833333333333,0.13550520047852457,0.059387772556644715,20
