seed,op,n,ok,acc,table_acc,fly_calls
0,add,200,200,1.0,1.0,5625
0,subtract,200,200,1.0,1.0,5235
0,multiply,200,200,1.0,1.0,9908
0,divide,200,198,0.99,1.0,4791
3,add,200,200,1.0,1.0,5462
3,subtract,200,200,1.0,1.0,5449
3,multiply,200,200,1.0,1.0,9867
3,divide,200,200,1.0,1.0,4907
5,add,200,200,1.0,1.0,5580
5,subtract,200,200,1.0,1.0,5580
5,multiply,200,200,1.0,1.0,9899
5,divide,200,197,0.985,1.0,5239
7,add,200,200,1.0,1.0,5678
7,subtract,200,200,1.0,1.0,5767
7,multiply,200,200,1.0,1.0,9898
7,divide,200,199,0.995,1.0,4577
8,add,200,200,1.0,1.0,5407
8,subtract,200,200,1.0,1.0,5413
8,multiply,200,200,1.0,1.0,10458
8,divide,200,198,0.99,1.0,5008
9,add,200,200,1.0,1.0,4940
9,subtract,200,200,1.0,1.0,5544
9,multiply,200,200,1.0,1.0,10026
9,divide,200,199,0.995,1.0,4346
10,add,200,200,1.0,1.0,6007
10,subtract,200,200,1.0,1.0,5398
10,multiply,200,200,1.0,1.0,10520
10,divide,200,198,0.99,1.0,5192
11,add,200,200,1.0,1.0,5399
11,subtract,200,200,1.0,1.0,5560
11,multiply,200,200,1.0,1.0,10294
11,divide,200,199,0.995,1.0,4369
12,add,200,200,1.0,1.0,5653
12,subtract,200,200,1.0,1.0,5467
12,multiply,200,200,1.0,1.0,10084
12,divide,200,199,0.995,1.0,4591
14,add,200,200,1.0,1.0,5928
14,subtract,200,200,1.0,1.0,5656
14,multiply,200,200,1.0,1.0,10017
14,divide,200,199,0.995,1.0,4202
15,add,200,200,1.0,1.0,5760
15,subtract,200,200,1.0,1.0,5730
15,multiply,200,200,1.0,1.0,10120
15,divide,200,198,0.99,1.0,5088
20,add,200,200,1.0,1.0,5334
20,subtract,200,200,1.0,1.0,5223
20,multiply,200,200,1.0,1.0,10857
20,divide,200,198,0.99,1.0,4451
21,add,200,200,1.0,1.0,5615
21,subtract,200,200,1.0,1.0,6453
21,multiply,200,200,1.0,1.0,10683
21,divide,200,200,1.0,1.0,5631
22,add,200,200,1.0,1.0,5260
22,subtract,200,200,1.0,1.0,5462
22,multiply,200,200,1.0,1.0,10007
22,divide,200,199,0.995,1.0,4023
23,add,200,200,1.0,1.0,5654
23,subtract,200,200,1.0,1.0,5588
23,multiply,200,200,1.0,1.0,10008
23,divide,200,200,1.0,1.0,4526
24,add,200,200,1.0,1.0,5399
24,subtract,200,200,1.0,1.0,5387
24,multiply,200,200,1.0,1.0,9603
24,divide,200,199,0.995,1.0,4369
25,add,200,200,1.0,1.0,5571
25,subtract,200,200,1.0,1.0,5395
25,multiply,200,200,1.0,1.0,10710
25,divide,200,199,0.995,1.0,4888
28,add,200,200,1.0,1.0,5429
28,subtract,200,200,1.0,1.0,5461
28,multiply,200,200,1.0,1.0,10253
28,divide,200,199,0.995,1.0,5105
31,add,200,200,1.0,1.0,5072
31,subtract,200,200,1.0,1.0,5561
31,multiply,200,200,1.0,1.0,10211
31,divide,200,200,1.0,1.0,4618
32,add,200,200,1.0,1.0,5658
32,subtract,200,200,1.0,1.0,5606
32,multiply,200,200,1.0,1.0,9614
32,divide,200,196,0.98,1.0,4328
